@T,climate
name,tmax
descr,max temperature

missing_val,-9999
date_start,01.01.2008
date_end,31.12.2014
date_format,dd.MM.yyyy

tres,d
unit,C

@H,date,tmax[1]
name,-,Greeley LIRF
ID,-,1
elevation,-,1427
x,-,530809
,23.06.2009,30.3
,24.06.2009,33.4
,25.06.2009,33.6
,26.06.2009,33.7
,27.06.2009,30.9
,28.06.2009,32.7
,29.06.2009,33.1
,30.06.2009,32.5
,01.07.2009,32.5
,02.07.2009,31.5
,03.07.2009,31.4
,04.07.2009,32.4
,05.07.2009,32.0
,06.07.2009,30.6
,07.07.2009,28.3
,08.07.2009,29.5
,09.07.2009,30.5
,10.07.2009,31.6
,11.07.2009,33.8
,12.07.2009,31.8
,13.07.2009,32.6
,14.07.2009,32.1
,15.07.2009,32.1
,16.07.2009,32.7
,17.07.2009,32.8
,18.07.2009,33.3
,19.07.2009,33.6
,20.07.2009,32.6
,21.07.2009,31.4
,22.07.2009,33.2
,23.07.2009,33.2
,24.07.2009,32.5
,25.07.2009,30.1
,26.07.2009,31.8
,27.07.2009,31.0
,28.07.2009,29.9
,29.07.2009,29.9
,30.07.2009,31.0
,31.07.2009,31.9
,01.08.2009,32.7
,02.08.2009,33.6
,03.08.2009,32.5
,04.08.2009,30.3
,05.08.2009,31.7
,06.08.2009,32.7
,07.08.2009,30.5
,08.08.2009,30.6
,09.08.2009,29.5
,10.08.2009,30.3
,11.08.2009,31.4
,12.08.2009,30.5
,13.08.2009,29.9
,14.08.2009,28.6
,15.08.2009,27.7
,16.08.2009,25.1
,17.08.2009,28.4
,18.08.2009,30.0
,19.08.2009,29.2
,20.08.2009,30.5
,21.08.2009,32.0
,22.08.2009,32.0
,23.08.2009,31.6
,24.08.2009,30.4
,25.08.2009,29.9
,26.08.2009,33.0
,27.08.2009,31.7
,28.08.2009,31.8
,29.08.2009,31.5
,30.08.2009,30.1
,31.08.2009,30.9
,01.09.2009,31.1
,02.09.2009,27.6
,03.09.2009,27.7
,04.09.2009,29.4
,05.09.2009,28.8
,06.09.2009,27.3
,07.09.2009,26.4
,08.09.2009,26.4
,09.09.2009,28.4
,10.09.2009,27.7
,11.09.2009,25.2
,12.09.2009,20.6
,13.09.2009,26.2
,14.09.2009,24.1
,15.09.2009,24.4
,16.09.2009,27.0
,17.09.2009,25.7
,18.09.2009,24.7
,19.09.2009,26.7
,20.09.2009,26.8
,21.09.2009,22.7
,22.09.2009,24.2
,23.09.2009,23.9
,24.09.2009,25.7
,25.09.2009,26.6
,26.09.2009,27.6
,27.09.2009,23.0
,28.09.2009,26.3
,29.09.2009,24.7
,30.09.2009,27.0
,01.10.2009,23.5
,02.10.2009,24.9
,03.10.2009,24.6
,04.10.2009,17.3
,05.10.2009,18.1
,06.10.2009,18.0
,07.10.2009,21.5
,08.10.2009,18.2
,09.10.2009,14.3
,10.10.2009,12.6
,11.10.2009,14.3
,12.10.2009,13.2
