@T,climate,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,
,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,
date_start,01.01.1960,,,,,,,,,,,,,
date_end,04.08.2013,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,
,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12]
name,,Artern,Erfurt,Schmuecke,Leinefelde,Eichelborn-ILMS,Geraberg-ILMS,Gossel-ILMS,Kirchheim-ILMS,Oberhof-ILMS,Ohrdruf-ILMS,Riechheim-ILMS,Wandersleben-ILMS,Wipfra-ILMS
ID,,198,1270,4501,2925,1,2,3,4,5,6,7,8,9
elevation,,164,316,937,356,297,481,495,265,753,334,385,268,390
,19.04.1960,3.7,3.7,4.52991,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.04.1960,3,2.3,2.81589,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.04.1960,3.7,3.7,4.52991,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.04.1960,3.3,4.7,5.75421,4,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.04.1960,4.7,4.3,5.26449,6,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.04.1960,3.7,5,6.1215,5.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.04.1960,3,4,4.8972,4.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.04.1960,2,3.3,4.04019,3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.04.1960,1.7,2.3,2.81589,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.04.1960,1.7,2,2.4486,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.04.1960,3.3,2.7,3.30561,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.04.1960,2.3,1.3,1.59159,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.05.1960,2.3,2.7,3.30561,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.05.1960,1.7,2.7,3.30561,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.05.1960,1.3,1.7,2.08131,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.05.1960,1.7,2,2.4486,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.05.1960,2,2.3,2.81589,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.05.1960,2.3,2.3,2.81589,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.05.1960,2,2.3,2.81589,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.05.1960,1.7,2.3,2.81589,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.05.1960,3.3,3,3.6729,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.05.1960,3.3,1.7,2.08131,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.05.1960,3,2.3,2.81589,2.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.05.1960,3.3,2.7,3.30561,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.05.1960,3,3,3.6729,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.05.1960,2.3,0.7,0.85701,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.05.1960,2.7,2.7,3.30561,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.05.1960,2.3,1.7,2.08131,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.05.1960,2,2,2.4486,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.05.1960,2.3,1.3,1.59159,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.05.1960,2.3,2.3,2.81589,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.05.1960,2,2,2.4486,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.05.1960,1,2.7,3.30561,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.05.1960,1.7,2.7,3.30561,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.05.1960,1.7,1.3,1.59159,1,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.05.1960,3,3.3,4.04019,3.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.05.1960,2.3,3,3.6729,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.05.1960,3,4.3,5.26449,3.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.05.1960,1.7,2,2.4486,0.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.05.1960,1,1.3,1.59159,1.7,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.05.1960,1.7,2,2.4486,2.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.05.1960,2.3,2,2.4486,0.3,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.05.1960,1.7,2,2.4486,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
