@T,climate
name,rainfall
desc,measured rainfall

missing_val,-9999
date_start,01.01.1980
date_end,13.08.2013
date_format,dd.MM.yyyy

tres,d
unit,mm

@H,date,Alperstedt,Artern,Arnstadt,Boesleben,Crawinkel,Dachwig,Dienstedt,Dosdorf,Eichelborn-ILMS,Elgersburg,Erfurt (Flugwewa),Erfurt-Egstedt,Erfurt-Frienstedt,Erfurt-Weimar,Finsterbergen,Floh,Frankenhain,Gehlberg,Geraberg-ILMS,Gossel-ILMS,Graefenroda,Graefinau-Angstedt,Herrenhof,Ilmenau,Kirchheim-ILMS,Kleiner Inselsberg,Luisenthal,Luisenthal Talsperre,Martinroda,Moenchenholzhausen,Molschleben,Muehlberg,Oberhof,Oberhof (Forsth. Sattelbach,Oberhof-ILMS,Oberschoenau,Ohrdruf-ILMS,Riechheim-ILMS,Schmuecke (WST),Sondershausen,Stadtilm,Stuetzerbach,Tambach-Dietharz,Tambach-Dietharz (Forsthaus,Tambach-Dietharz (Talsperre,Tuettleben,Waltershausen,Wandersleben-ILMS,Wipfra-ILMS
,12.02.1980,0.2,0,0.1,0.5,1.3,0.3,0.7,0.4,-9999,0.2,0.4,0.4,0.3,-9999,0,1.2,1,0.2,-9999,-9999,1,0.3,3,0,-9999,1.7,1.2,1.3,0.2,1,0.4,0.2,0.2,0.2,-9999,2.5,-9999,-9999,0.9,1.4,1.4,0.8,0,0.3,0,0.4,1.1,-9999,-9999
,13.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0.2,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,4,0,0,0,0,0.4,0,-9999,-9999
,14.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,15.02.1980,0.1,0,0.1,0,0,0.8,0,0,-9999,0,0.1,0,0.2,-9999,0.4,0.9,0.8,0,-9999,-9999,0,0,0.8,0,-9999,2.3,0.2,0.8,0,0.8,0,0.4,0,0,-9999,2.5,-9999,-9999,1.5,0.5,0,0.6,1.8,1.1,0.4,0,0,-9999,-9999
,16.02.1980,0,0,1,0,0,0.1,0.3,0,-9999,1,0.9,1,0.8,-9999,0,1.4,0.2,1.2,-9999,-9999,0.5,2.1,0,0.8,-9999,0.5,0.1,0,1,0.2,0,0,1.18,3.5,-9999,1.3,-9999,-9999,2,0,0,0.2,0,0.2,0,0,0,-9999,-9999
,17.02.1980,0,0,0.2,0,0,0,0.1,0,-9999,0,0,0,0,-9999,0,0,0,0.4,-9999,-9999,0,0,0,0,-9999,0.1,0,0,0,0,0,0,0.39,0,-9999,0,-9999,-9999,0.1,0,0,0,0,0,0,0,0,-9999,-9999
,18.02.1980,0,0.2,0.4,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0.2,-9999,-9999,0,0.3,0,0,-9999,0,0,0,0,0,0,0,0.2,0.2,-9999,0,-9999,-9999,0.1,0.2,0,0,0,0,0,0,0,-9999,-9999
,19.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
,20.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,8.1,0,0,0,0,0,0,-9999,-9999
,21.02.1980,0,0,0,0,0,0,0,0,-9999,0,0,0,0,-9999,0,0,0,0,-9999,-9999,0,0,0,0,-9999,0,0,0,0,0,0,0,0,0,-9999,0,-9999,-9999,0,0,0,0,0,0,0,0,0,-9999,-9999
