@T,B4D1D2D3D4,,,,
descr,average observed soil water content at probe B4 D1 D2 D3 D4 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1577,,,
x,,513649,,,
y,,4495037.6,,,
,09.09.2003,0.191480749,0.289968042,0.26201243,0.247150019
,10.09.2003,0.199791247,0.289020286,0.26145286,0.246980203
,11.09.2003,0.188473777,0.287658538,0.260785772,0.246769079
,12.09.2003,0.187848481,0.286106181,0.259877155,0.246510366
,13.09.2003,0.18800132,0.285472706,0.25904117,0.246193429
,14.09.2003,0.186473525,0.284581576,0.258406567,0.245841366
,15.09.2003,0.185719407,0.283279569,0.257611179,0.245473799
,16.09.2003,0.186776818,0.282907156,0.256821345,0.245075101
,17.09.2003,0.187575705,0.283455468,0.256448571,0.244670035
,18.09.2003,0.183771516,0.282913145,0.256307537,0.244311605
,19.09.2003,0.181476027,0.280554185,0.255514099,0.243997442
,20.09.2003,0.181525669,0.279148164,0.254361884,0.243663905
,21.09.2003,0.181760064,0.278710607,0.253501498,0.243225478
,22.09.2003,0.18181133,0.278792719,0.25296909,0.242777828
,23.09.2003,0.181657741,0.278782844,0.25261318,0.242328636
,24.09.2003,0.182261164,0.279359904,0.25240968,0.24192273
,25.09.2003,0.181183958,0.279647916,0.252422716,0.241571137
,26.09.2003,0.181491224,0.279756611,0.252302812,0.241254492
,27.09.2003,0.180824337,0.280276818,0.252330361,0.240980359
,28.09.2003,0.179460296,0.280051441,0.252323408,0.240751677
,29.09.2003,0.177930875,0.279309194,0.252073573,0.240543702
,30.09.2003,0.176367974,0.278314281,0.251630781,0.240347184
,01.10.2003,0.173827298,0.276551889,0.250948213,0.240118681
,02.10.2003,0.174088181,0.275120257,0.249945958,0.239841966
,03.10.2003,0.175038535,0.274757006,0.249164846,0.239478027
,04.10.2003,0.175003709,0.275094604,0.248792231,0.239091228
,05.10.2003,0.174943538,0.274875136,0.24854126,0.238721577
,06.10.2003,0.175652885,0.275053272,0.248311958,0.23837746
,07.10.2003,0.176041348,0.275535244,0.248281435,0.238059065
,08.10.2003,0.17693041,0.276001671,0.248354789,0.237792794
,09.10.2003,0.177270805,0.276754642,0.248552039,0.237570413
,10.10.2003,0.177030454,0.276630633,0.248845595,0.237440658
,11.10.2003,0.175958775,0.276241537,0.24912327,0.237358937
,12.10.2003,0.173422823,0.275316035,0.249132031,0.237265563
,13.10.2003,0.17303203,0.274200714,0.24868088,0.237196566
,14.10.2003,0.170763285,0.273073773,0.248185156,0.237059709
,15.10.2003,0.169043048,0.271263848,0.24739556,0.236881833
,16.10.2003,0.168413749,0.269778324,0.246439796,0.236642592
,17.10.2003,0.168149625,0.26874303,0.245554387,0.236335946
,18.10.2003,0.170050502,0.268644348,0.244872053,0.235983287
,19.10.2003,0.171289954,0.269545281,0.244702018,0.235609795
,20.10.2003,0.172341427,0.270376385,0.244854282,0.235286647
,21.10.2003,0.172797352,0.271282013,0.245154673,0.235041059
,22.10.2003,0.172954531,0.271766894,0.245476051,0.234868994
,23.10.2003,0.173132077,0.272194998,0.245731984,0.234745854
,24.10.2003,0.173182873,0.272543682,0.245967524,0.234660753
,25.10.2003,0.170362226,0.272050807,0.246114947,0.234603815
,26.10.2003,0.166488895,0.269664189,0.245659372,0.234556188
,27.10.2003,0.165958764,0.267311289,0.244532768,0.234455363
,28.10.2003,0.166903835,0.266567627,0.243518269,0.234239327
,29.10.2003,0.166637902,0.266222215,0.242935111,0.233928213
,30.10.2003,0.166168088,0.266194791,0.242522653,0.233625651
,31.10.2003,0.160872267,0.263996751,0.241988852,0.233325876
,01.11.2003,0.157945169,0.260392045,0.240523315,0.233015267
,02.11.2003,0.156652225,0.257723514,0.238731007,0.232601079
,03.11.2003,0.155663726,0.255668479,0.237078777,0.232069938
,04.11.2003,0.155172165,0.254032198,0.235579598,0.231442512
,05.11.2003,0.154267728,0.252878189,0.234301084,0.230778596
,06.11.2003,0.152992572,0.251128809,0.233088032,0.230092307
,07.11.2003,0.153104459,0.249973004,0.231842341,0.229405909
,08.11.2003,0.153126147,0.249275542,0.230856172,0.228707805
,09.11.2003,0.153395837,0.248808713,0.230054766,0.228037692
,10.11.2003,0.153792344,0.248540526,0.22943036,0.227384727
,11.11.2003,0.154321269,0.248614892,0.228967482,0.22677837
,12.11.2003,0.154564295,0.248704899,0.228679194,0.226230549
,13.11.2003,0.153305013,0.248355466,0.228418269,0.22572872
,14.11.2003,0.153121598,0.247611543,0.227950609,0.225279956
,15.11.2003,0.152921753,0.247179476,0.227469645,0.224837075
