@T,A1A2A3,,,,
descr,average observed soil water content at probes A1 A2 A3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,18.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1570.333333,,,
x,,513651,,,
y,,4495344.667,,,
,13.10.2003,0.299944729,0.303519257,0.251881966,0.189741634
,14.10.2003,0.297360252,0.302416521,0.251346655,0.189527019
,15.10.2003,0.295610899,0.300831468,0.250524107,0.189113472
,16.10.2003,0.294913976,0.299559694,0.249597144,0.188570948
,17.10.2003,0.294547183,0.298597384,0.248746244,0.187958806
,18.10.2003,0.29666142,0.298465377,0.248053735,0.187375563
,19.10.2003,0.2977787,0.299118582,0.247899896,0.186938315
,20.10.2003,0.298785573,0.299623371,0.248021433,0.186736423
,21.10.2003,0.29893426,0.30018136,0.248270535,0.186697637
,22.10.2003,0.299018614,0.300392745,0.248482534,0.18675856
,23.10.2003,0.299063574,0.300607454,0.248681936,0.186840505
,24.10.2003,0.298982422,0.300811244,0.248838297,0.186962428
,25.10.2003,0.295690166,0.300152557,0.248959794,0.187082322
,26.10.2003,0.29153697,0.298025936,0.248389753,0.187051161
,27.10.2003,0.291110424,0.296139893,0.247268331,0.186643486
,28.10.2003,0.292024028,0.295490617,0.246357071,0.186086769
,29.10.2003,0.291564041,0.295044683,0.245765532,0.185573012
,30.10.2003,0.290550197,0.294891349,0.245363336,0.185172066
,31.10.2003,0.284667578,0.292721802,0.244739005,0.184762776
,01.11.2003,0.281580274,0.289717468,0.243248186,0.184123841
,02.11.2003,0.279989323,0.287490732,0.241637861,0.183253476
,03.11.2003,0.278718817,0.28567365,0.240201804,0.182293278
,04.11.2003,0.277972835,0.284126457,0.238865556,0.181286936
,05.11.2003,0.276591812,0.283016643,0.23770635,0.180347918
,06.11.2003,0.275277427,0.281385821,0.236574787,0.179423855
,07.11.2003,0.275235434,0.280376403,0.235482653,0.178533387
,08.11.2003,0.275076865,0.279686658,0.23461615,0.177677282
,09.11.2003,0.275271058,0.279198062,0.233911655,0.176968644
,10.11.2003,0.275607628,0.278884568,0.233361993,0.176311768
,11.11.2003,0.275943214,0.278844465,0.232918448,0.175760653
,12.11.2003,0.276096956,0.27879177,0.232652024,0.175340671
,13.11.2003,0.274415963,0.278302239,0.232414838,0.174980658
,14.11.2003,0.274071894,0.27756525,0.231938161,0.174606842
,15.11.2003,0.273640366,0.277040758,0.231464576,0.174201172
,16.11.2003,0.272583908,0.276426694,0.231021869,0.173811486
,17.11.2003,0.271759005,0.27564081,0.230514964,0.173438844
,18.11.2003,0.271245189,0.274930021,0.229945827,0.173012532
,19.11.2003,0.272328586,0.274591035,0.229464701,0.172616135
,20.11.2003,0.272977366,0.274939836,0.229222635,0.172232574
,21.11.2003,0.272424962,0.274969239,0.229153689,0.171980277
,22.11.2003,0.270053052,0.274249634,0.228951325,0.171769738
,23.11.2003,0.266672426,0.272658426,0.228326438,0.171464351
,24.11.2003,0.263967776,0.270561882,0.227338283,0.170996288
,25.11.2003,0.263615539,0.268831989,0.226119657,0.170378952
,26.11.2003,0.262503515,0.267724612,0.225051896,0.169646829
,27.11.2003,0.261714896,0.266485118,0.224024103,0.168920318
,28.11.2003,0.260301483,0.265351878,0.223049866,0.168193253
,29.11.2003,0.260672352,0.26430216,0.222019405,0.167444184
,30.11.2003,0.264010448,0.264663919,0.221239961,0.166736822
,01.12.2003,0.26614715,0.265922302,0.221059351,0.166164378
,02.12.2003,0.266388906,0.266947779,0.221147364,0.165792995
,03.12.2003,0.266600578,0.26774864,0.221199156,0.165559024
,04.12.2003,0.265598487,0.268035003,0.221226358,0.165341033
,05.12.2003,0.263664704,0.267654592,0.221144292,0.165133497
,06.12.2003,0.262454414,0.2666916,0.220833625,0.164857022
,07.12.2003,0.263806156,0.266302303,0.22039766,0.164435492
,08.12.2003,0.265141784,0.266878197,0.220289417,0.164052655
,09.12.2003,0.264661306,0.267108088,0.220518925,0.16381636
,10.12.2003,0.263860658,0.266955383,0.220601288,0.163699377
,11.12.2003,0.262615851,0.266424568,0.220498924,0.16355744
