@T,A4C1C2C3C4,,,,
descr,average observed soil water content at probe A4 C1 C2 C3 C4 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1580.4,,,
x,,513568.6,,,
y,,4494995,,,
,21.11.2003,0.263963774,0.23917487,0.188923211,0.160813782
,22.11.2003,0.261921521,0.238508783,0.188697667,0.160658133
,23.11.2003,0.258315048,0.236933548,0.18810961,0.16043925
,24.11.2003,0.255028953,0.234514342,0.186977217,0.160018569
,25.11.2003,0.254190725,0.232482733,0.185581369,0.159333449
,26.11.2003,0.253367206,0.231262814,0.184343367,0.158522274
,27.11.2003,0.242528728,0.230038652,0.183265137,0.157740329
,28.11.2003,0.251409929,0.228906739,0.182251499,0.156970886
,29.11.2003,0.251216832,0.227803734,0.181259229,0.156227456
,30.11.2003,0.254158025,0.227911393,0.180503357,0.155523594
,01.12.2003,0.255658177,0.228785464,0.180308075,0.155005201
,02.12.2003,0.255427102,0.229184245,0.180364889,0.154727263
,03.12.2003,0.255424721,0.229246484,0.180365315,0.154594115
