@T,Climate,,,,,
descr,solar radiation,,,,,
unit,MJ/m2,,,,,
missing_val,-9999,,,,,
date_start,01.01.1990,,,,,
date_end,31.12.2008,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,solrad[1],solrad[2],solrad[3],solrad[4],solrad[5]
name,,waterloo,ame,ass,blg,cme
ID,,1,2,3,4,5
elevation,,287,276,275,266,273
,12.09.1990,18.16,-9999,-9999,-9999,-9999
,13.09.1990,7.49,-9999,-9999,-9999,-9999
,14.09.1990,20.75,-9999,-9999,-9999,-9999
,15.09.1990,15.15,-9999,-9999,-9999,-9999
,16.09.1990,14.56,-9999,-9999,-9999,-9999
,17.09.1990,19.33,-9999,-9999,-9999,-9999
,18.09.1990,15.56,-9999,-9999,-9999,-9999
,19.09.1990,20.84,-9999,-9999,-9999,-9999
,20.09.1990,10.21,-9999,-9999,-9999,-9999
,21.09.1990,18.33,-9999,-9999,-9999,-9999
,22.09.1990,15.44,-9999,-9999,-9999,-9999
,23.09.1990,16.78,-9999,-9999,-9999,-9999
,24.09.1990,18.16,-9999,-9999,-9999,-9999
,25.09.1990,7.45,-9999,-9999,-9999,-9999
,26.09.1990,20.5,-9999,-9999,-9999,-9999
,27.09.1990,18.66,-9999,-9999,-9999,-9999
,28.09.1990,13.89,-9999,-9999,-9999,-9999
,29.09.1990,20.08,-9999,-9999,-9999,-9999
,30.09.1990,15.23,-9999,-9999,-9999,-9999
,01.10.1990,10.88,-9999,-9999,-9999,-9999
,02.10.1990,12.38,-9999,-9999,-9999,-9999
,03.10.1990,11.09,-9999,-9999,-9999,-9999
,04.10.1990,6.74,-9999,-9999,-9999,-9999
,05.10.1990,10.13,-9999,-9999,-9999,-9999
,06.10.1990,8.87,-9999,-9999,-9999,-9999
,07.10.1990,11.25,-9999,-9999,-9999,-9999
,08.10.1990,13.43,-9999,-9999,-9999,-9999
,09.10.1990,4.69,-9999,-9999,-9999,-9999
,10.10.1990,10.84,-9999,-9999,-9999,-9999
,11.10.1990,15.06,-9999,-9999,-9999,-9999
,12.10.1990,12.55,-9999,-9999,-9999,-9999
,13.10.1990,15.61,-9999,-9999,-9999,-9999
,14.10.1990,11.59,-9999,-9999,-9999,-9999
,15.10.1990,6.44,-9999,-9999,-9999,-9999
,16.10.1990,13.35,-9999,-9999,-9999,-9999
,17.10.1990,12.34,-9999,-9999,-9999,-9999
,18.10.1990,9.75,-9999,-9999,-9999,-9999
,19.10.1990,9.12,-9999,-9999,-9999,-9999
,20.10.1990,7.36,-9999,-9999,-9999,-9999
,21.10.1990,13.39,-9999,-9999,-9999,-9999
,22.10.1990,9.96,-9999,-9999,-9999,-9999
,23.10.1990,11.46,-9999,-9999,-9999,-9999
,24.10.1990,10.96,-9999,-9999,-9999,-9999
,25.10.1990,9.08,-9999,-9999,-9999,-9999
,26.10.1990,10.17,-9999,-9999,-9999,-9999
,27.10.1990,10.29,-9999,-9999,-9999,-9999
,28.10.1990,9.37,-9999,-9999,-9999,-9999
,29.10.1990,12.22,-9999,-9999,-9999,-9999
,30.10.1990,12.76,-9999,-9999,-9999,-9999
,31.10.1990,8.03,-9999,-9999,-9999,-9999
,01.11.1990,4.73,-9999,-9999,-9999,-9999
,02.11.1990,4.23,-9999,-9999,-9999,-9999
,03.11.1990,4.9,-9999,-9999,-9999,-9999
,04.11.1990,4.64,-9999,-9999,-9999,-9999
,05.11.1990,7.87,-9999,-9999,-9999,-9999
,06.11.1990,4.98,-9999,-9999,-9999,-9999
,07.11.1990,7.57,-9999,-9999,-9999,-9999
,08.11.1990,7.66,-9999,-9999,-9999,-9999
,09.11.1990,3.47,-9999,-9999,-9999,-9999
,10.11.1990,4.52,-9999,-9999,-9999,-9999
,11.11.1990,6.74,-9999,-9999,-9999,-9999
,12.11.1990,5.36,-9999,-9999,-9999,-9999
,13.11.1990,6.02,-9999,-9999,-9999,-9999
,14.11.1990,4.1,-9999,-9999,-9999,-9999
,15.11.1990,8.33,-9999,-9999,-9999,-9999
,16.11.1990,7.32,-9999,-9999,-9999,-9999
,17.11.1990,4.98,-9999,-9999,-9999,-9999
,18.11.1990,8.58,-9999,-9999,-9999,-9999
,19.11.1990,6.53,-9999,-9999,-9999,-9999
,20.11.1990,5.48,-9999,-9999,-9999,-9999
,21.11.1990,7.66,-9999,-9999,-9999,-9999
,22.11.1990,5.94,-9999,-9999,-9999,-9999
,23.11.1990,8.41,-9999,-9999,-9999,-9999
,24.11.1990,3.39,-9999,-9999,-9999,-9999
,25.11.1990,7.66,-9999,-9999,-9999,-9999
