@T,climate,,,,,,,,,,,,,,,,,
descr,relative humidity,,,,,,,,,,,,,,,,,
unit,%,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
 date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,rehum[0],rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9],rehum[10],rehum[11],rehum[12],rehum[13],rehum[14],rehum[15],rehum[16]
name,,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
x,,529937,530697,530697,512701,512701,658244,658244,500000,500000,492746,492746,523701,523701,736677,736677,658762,658762
y,,4476587,4477623,4477623,4495474,4495474,4446593,4446593,4500182,4500182,4491727,4491727,4490951,4490951,4340328,4340328,4470503,4470503
,01.05.1918,-9999,-9999,-9999,-9999,-9999,35.91,54.7,-9999,-9999,-9999,58.54,-9999,-9999,-9999,-9999,-9999,-9999
,02.05.1918,-9999,-9999,-9999,-9999,-9999,32.22,53.8,-9999,-9999,-9999,61.78,-9999,-9999,-9999,-9999,-9999,-9999
,03.05.1918,-9999,-9999,-9999,-9999,-9999,38.29,51.6,-9999,-9999,-9999,57.11,-9999,-9999,-9999,-9999,-9999,-9999
,04.05.1918,-9999,-9999,-9999,-9999,-9999,48.44,52.1,-9999,-9999,-9999,50.37,-9999,-9999,-9999,-9999,-9999,-9999
,05.05.1918,-9999,-9999,-9999,-9999,-9999,54.22,51.5,-9999,-9999,-9999,52.83,-9999,-9999,-9999,-9999,-9999,-9999
,06.05.1918,-9999,-9999,-9999,-9999,-9999,47.39,50.6,-9999,-9999,-9999,51.39,-9999,-9999,-9999,-9999,-9999,-9999
,07.05.1918,-9999,-9999,-9999,-9999,-9999,43.75,54.6,-9999,-9999,-9999,59.04,-9999,-9999,-9999,-9999,-9999,-9999
,08.05.1918,-9999,-9999,-9999,-9999,-9999,31.7,51.5,-9999,-9999,-9999,55.98,-9999,-9999,-9999,-9999,-9999,-9999
,09.05.1918,-9999,-9999,-9999,-9999,-9999,31.29,50.7,-9999,-9999,-9999,58.16,-9999,-9999,-9999,-9999,-9999,-9999
,10.05.1918,-9999,-9999,-9999,-9999,-9999,45.01,53.7,-9999,-9999,-9999,55.87,-9999,-9999,-9999,-9999,-9999,-9999
,11.05.1918,-9999,-9999,-9999,-9999,-9999,60.06,54.5,-9999,-9999,-9999,63.99,-9999,-9999,-9999,-9999,-9999,-9999
,12.05.1918,-9999,-9999,-9999,-9999,-9999,49.07,52.2,-9999,-9999,-9999,58.27,-9999,-9999,-9999,-9999,-9999,-9999
,13.05.1918,-9999,-9999,-9999,-9999,-9999,45.27,51.4,-9999,-9999,-9999,52.24,-9999,-9999,-9999,-9999,-9999,-9999
,14.05.1918,-9999,-9999,-9999,-9999,-9999,39.68,50.8,-9999,-9999,-9999,53.97,-9999,-9999,-9999,-9999,-9999,-9999
,15.05.1918,-9999,-9999,-9999,-9999,-9999,43.09,53,-9999,-9999,-9999,54.66,-9999,-9999,-9999,-9999,-9999,-9999
,16.05.1918,-9999,-9999,-9999,-9999,-9999,54.27,52.6,-9999,-9999,-9999,56.61,-9999,-9999,-9999,-9999,-9999,-9999
,17.05.1918,-9999,-9999,-9999,-9999,-9999,47.76,52.1,-9999,-9999,-9999,58.46,-9999,-9999,-9999,-9999,-9999,-9999
,18.05.1918,-9999,-9999,-9999,-9999,-9999,39.68,52.4,-9999,-9999,-9999,53.65,-9999,-9999,-9999,-9999,-9999,-9999
,19.05.1918,-9999,-9999,-9999,-9999,-9999,43.75,52.2,-9999,-9999,-9999,57.47,-9999,-9999,-9999,-9999,-9999,-9999
,20.05.1918,-9999,-9999,-9999,-9999,-9999,36.7,54.2,-9999,-9999,-9999,62.31,-9999,-9999,-9999,-9999,-9999,-9999
,21.05.1918,-9999,-9999,-9999,-9999,-9999,42.14,55.3,-9999,-9999,-9999,56.56,-9999,-9999,-9999,-9999,-9999,-9999
,22.05.1918,-9999,-9999,-9999,-9999,-9999,46.41,53.3,-9999,-9999,-9999,57.92,-9999,-9999,-9999,-9999,-9999,-9999
