@T,climate,,,,,,,,,,,,,,,,,
name,wind,,,,,,,,,,,,,,,,,
desc,wind speed,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
 missing_value,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d,,,,,,,,,,,,,,,,,
unit,m/s,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,wind[0],wind[1],wind[2],wind[3],wind[4],wind[5],wind[6],wind[7],wind[8],wind[9],wind[10],wind[11],wind[12],wind[13],wind[14],wind[15],wind[16]
name,-,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
elevation,-,1426,1427,1427,1572,1572,1383,1383,1558,1558,1525,1525,1497,1497,1335,1335,1363,1363
,29.04.1918,-9999,-9999,-9999,-9999,-9999,7.3,6.63,-9999,-9999,-9999,2.63,-9999,-9999,-9999,-9999,-9999,-9999
,30.04.1918,-9999,-9999,-9999,-9999,-9999,6.4,6.25,-9999,-9999,-9999,2.71,-9999,-9999,-9999,-9999,-9999,-9999
,01.05.1918,-9999,-9999,-9999,-9999,-9999,7.8,5.89,-9999,-9999,-9999,2.14,-9999,-9999,-9999,-9999,-9999,-9999
,02.05.1918,-9999,-9999,-9999,-9999,-9999,4.5,5.49,-9999,-9999,-9999,2.3,-9999,-9999,-9999,-9999,-9999,-9999
,03.05.1918,-9999,-9999,-9999,-9999,-9999,7.4,5.64,-9999,-9999,-9999,1.83,-9999,-9999,-9999,-9999,-9999,-9999
,04.05.1918,-9999,-9999,-9999,-9999,-9999,6.2,5.9,-9999,-9999,-9999,2.64,-9999,-9999,-9999,-9999,-9999,-9999
,05.05.1918,-9999,-9999,-9999,-9999,-9999,8.5,5.27,-9999,-9999,-9999,2.41,-9999,-9999,-9999,-9999,-9999,-9999
,06.05.1918,-9999,-9999,-9999,-9999,-9999,6.7,5.46,-9999,-9999,-9999,2.18,-9999,-9999,-9999,-9999,-9999,-9999
,07.05.1918,-9999,-9999,-9999,-9999,-9999,5.3,5.59,-9999,-9999,-9999,2.07,-9999,-9999,-9999,-9999,-9999,-9999
,08.05.1918,-9999,-9999,-9999,-9999,-9999,8.4,5.66,-9999,-9999,-9999,2.45,-9999,-9999,-9999,-9999,-9999,-9999
,09.05.1918,-9999,-9999,-9999,-9999,-9999,1.7,5.59,-9999,-9999,-9999,2.12,-9999,-9999,-9999,-9999,-9999,-9999
,10.05.1918,-9999,-9999,-9999,-9999,-9999,4,5.64,-9999,-9999,-9999,2.15,-9999,-9999,-9999,-9999,-9999,-9999
,11.05.1918,-9999,-9999,-9999,-9999,-9999,7.5,5.59,-9999,-9999,-9999,2.08,-9999,-9999,-9999,-9999,-9999,-9999
,12.05.1918,-9999,-9999,-9999,-9999,-9999,2.2,5.84,-9999,-9999,-9999,2.19,-9999,-9999,-9999,-9999,-9999,-9999
,13.05.1918,-9999,-9999,-9999,-9999,-9999,9,5.31,-9999,-9999,-9999,2.04,-9999,-9999,-9999,-9999,-9999,-9999
,14.05.1918,-9999,-9999,-9999,-9999,-9999,6.7,5.52,-9999,-9999,-9999,1.84,-9999,-9999,-9999,-9999,-9999,-9999
,15.05.1918,-9999,-9999,-9999,-9999,-9999,3.7,5.46,-9999,-9999,-9999,1.88,-9999,-9999,-9999,-9999,-9999,-9999
,16.05.1918,-9999,-9999,-9999,-9999,-9999,7.2,6.07,-9999,-9999,-9999,1.85,-9999,-9999,-9999,-9999,-9999,-9999
,17.05.1918,-9999,-9999,-9999,-9999,-9999,6.3,5.87,-9999,-9999,-9999,2.07,-9999,-9999,-9999,-9999,-9999,-9999
,18.05.1918,-9999,-9999,-9999,-9999,-9999,3.3,5.85,-9999,-9999,-9999,1.86,-9999,-9999,-9999,-9999,-9999,-9999
,19.05.1918,-9999,-9999,-9999,-9999,-9999,6.3,5.43,-9999,-9999,-9999,1.91,-9999,-9999,-9999,-9999,-9999,-9999
