@T,climate     ,,,,,,,,,,,,,,,,,
name,rainfall     ,,,,,,,,,,,,,,,,,
desc,measured rainfall     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
missing_val,-9999,,,,,,,,,,,,,,,,,
date_start,01.01.1918,,,,,,,,,,,,,,,,,
date_end,31.12.2014,,,,,,,,,,,,,,,,,
date_format,dd.MM.yyyy     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
tres,d     ,,NOTE: ,Precip Values need to be changed in this sheet for GENERIC sites if there are data there now 6/5/14.,,,,,,,,,,,,,,
unit,mm     ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
@H,date,Greeley GLY03,Greeley LIRF GLY04,Greeley Generic,Drake,Drake Generic,Akron,Akron Generic,ARDEC,ARDEC Generic,Ft Collins,Ft Collins Generic,Ault,Ault Generic,Stratton,Stratton Generic,Sterling DAP,Sterling Generic
ID,-,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,15.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.51,-9999,-9999,-9999,-9999,-9999,-9999
,16.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,17.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,18.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,19.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,20.05.1918,-9999,-9999,-9999,-9999,-9999,0,2.8,-9999,-9999,0,1.02,-9999,-9999,-9999,-9999,-9999,-9999
,21.05.1918,-9999,-9999,-9999,-9999,-9999,0,12.7,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,22.05.1918,-9999,-9999,-9999,-9999,-9999,0.3,2,-9999,-9999,0.8,0,-9999,-9999,-9999,-9999,-9999,-9999
,23.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,24.05.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,25.05.1918,-9999,-9999,-9999,-9999,-9999,0.3,1.8,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,26.05.1918,-9999,-9999,-9999,-9999,-9999,0.5,0.3,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,27.05.1918,-9999,-9999,-9999,-9999,-9999,3,0,-9999,-9999,4.3,0,-9999,-9999,-9999,-9999,-9999,-9999
,28.05.1918,-9999,-9999,-9999,-9999,-9999,1.3,0,-9999,-9999,13.2,0,-9999,-9999,-9999,-9999,-9999,-9999
,29.05.1918,-9999,-9999,-9999,-9999,-9999,21.8,21.1,-9999,-9999,1.8,14.48,-9999,-9999,-9999,-9999,-9999,-9999
,30.05.1918,-9999,-9999,-9999,-9999,-9999,3.6,1.5,-9999,-9999,11.9,0,-9999,-9999,-9999,-9999,-9999,-9999
,31.05.1918,-9999,-9999,-9999,-9999,-9999,9.4,0,-9999,-9999,25.1,0,-9999,-9999,-9999,-9999,-9999,-9999
,01.06.1918,-9999,-9999,-9999,-9999,-9999,0,0.5,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,02.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,03.06.1918,-9999,-9999,-9999,-9999,-9999,1.3,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,04.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,05.06.1918,-9999,-9999,-9999,-9999,-9999,0,0.3,-9999,-9999,2.8,0,-9999,-9999,-9999,-9999,-9999,-9999
,06.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,07.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,08.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,1,0,-9999,-9999,-9999,-9999,-9999,-9999
,09.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,10.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,11.06.1918,-9999,-9999,-9999,-9999,-9999,0,0.5,-9999,-9999,0.5,0,-9999,-9999,-9999,-9999,-9999,-9999
,12.06.1918,-9999,-9999,-9999,-9999,-9999,0,31.8,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,13.06.1918,-9999,-9999,-9999,-9999,-9999,0,0.3,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,14.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.51,-9999,-9999,-9999,-9999,-9999,-9999
,15.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,16.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,17.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0,-9999,-9999,-9999,-9999,-9999,-9999
,18.06.1918,-9999,-9999,-9999,-9999,-9999,0,0,-9999,-9999,0,0.76,-9999,-9999,-9999,-9999,-9999,-9999
