@T,hrus ,,,,,,,,,,,,,,
descr,hrus.csv ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool,tiledrainage
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,9999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999,1
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t,n/a
,225,663214,4594341,281,52200,3,1,83.4793,0,10,82,1,115.549,0,0
,226,673579,4594185,279,286200,2,0.6,298.7345,0,2,82,1,50.4702,0,0
,227,650734,4594046,308,1062000,3,1.5,251.1899,0,2,82,1,90.1939,0,0
,228,660124,4594142,301,177300,2,0.8,165.8769,0,2,82,1,22.1339,0,0
,229,671854,4594283,274,121500,3,0.4,158.4419,0,11,81,1,32.656,0,0
,230,651304,4594240,311,122400,2,1.5,336.0892,0,2,82,1,32.3742,0,0
,231,654934,4594174,304,176400,2,3.8,117.8404,0,15,82,1,28.8092,0,0
,232,656149,4594168,293,69300,2,2.6,331.8007,0,15,82,1,10,0,0
,233,672199,4593990,275,677700,2,0.8,298.2382,0,11,82,1,42.7781,0,0
,234,653014,4594367,307,70200,2,2.9,24.4524,0,2,82,1,23.0571,0,0
,235,666934,4594104,290,183600,2,0.5,-1,0,2,82,1,23.1694,0,0
,236,670819,4594083,279,703800,3,1.3,160.274,0,2,82,1,51.3339,0,0
,237,651604,4594193,314,83700,2,2.1,295.0223,0,2,82,1,57.0721,0,0
,238,653074,4594140,310,234900,2,2.2,22.3043,0,2,82,1,23.2143,0,0
,239,664609,4594018,286,216900,3,0.9,297.7429,0,2,81,1,22.2222,0,0
,240,658144,4594110,290,112500,2,1.8,67.8421,0,11,82,1,19.8191,0,0
,241,663514,4594215,284,53100,3,2.4,292.4102,0,10,41,1,143.463,0,0
,242,668749,4594304,292,116100,2,1.6,112.5139,0,10,82,1,73.0177,0,0
,243,671479,4593949,274,174600,3,0.6,159.1192,0,11,82,1,35.9467,0,0
,244,658444,4594116,295,62100,2,2.3,292.9457,0,11,82,1,216.427,0,0
,245,652699,4594033,311,130500,2,2,290.112,0,2,82,1,25,0,0
,246,663604,4594214,287,55800,2,1.5,112.4664,0,10,41,1,40.494,0,0
,247,650194,4593592,309,1016100,3,1.3,70.925,0,2,82,1,25,0,0
,248,652264,4594184,314,285300,2,2.1,114.9829,0,2,82,1,87.0514,0,0
,249,655264,4593723,297,459000,3,2.2,20.8654,0,15,82,1,66.1242,0,0
,250,668209,4593763,291,260100,2,1.1,114.6154,0,10,41,1,67.4773,0,0
,251,673009,4594041,277,74700,2,0.9,290.3254,0,10,82,1,64.1429,0,0
,252,652444,4593891,310,180900,2,1.6,19.8122,0,2,81,1,88.5429,0,0
,253,656479,4593930,287,450900,3,2.2,158.1566,0,11,82,1,103.028,0,0
,254,664969,4593877,288,167400,2,0.8,161.5511,0,2,82,1,41.6314,0,0
,255,668929,4593889,289,72000,2,1.2,79.9154,0,10,82,1,37.7958,0,0
,256,653539,4593913,311,164700,2,2.3,340.8127,0,15,82,1,44.3318,0,0
,257,655789,4593660,293,476100,3,1.6,249.5343,0,11,82,1,25,0,0
,258,656344,4594041,291,50400,2,2.7,25.7706,0,11,81,1,25,0,0
,259,654814,4593814,306,110700,2,3.9,117.1389,0,15,82,1,105.667,0,0
,260,657829,4593761,282,377100,3,2.6,248.7479,0,11,82,1,32.8947,0,0
,261,658399,4593797,290,163800,2,2.5,207.1513,0,15,82,1,34.5969,0,0
,262,659329,4593797,297,171000,2,1.2,120.9789,0,2,82,1,150.276,0,0
,263,659629,4593889,299,57600,2,1.4,123.02,0,2,82,1,51.607,0,0
,264,659794,4593757,297,198000,2,0.8,-1,0,2,81,1,109.852,0,0
,265,671644,4594034,273,1800,3,0.3,-1,0,11,82,1,55.0148,0,0
,266,651679,4593543,311,509400,2,1.9,250.3866,0,2,82,1,25,0,0
,267,669289,4593258,285,1577700,2,0.9,163.7467,0,10,82,1,10,0,0
,268,649729,4593658,312,90900,2,1.8,106.1246,0,2,81,1,10,0,0
,269,656764,4593619,293,165600,2,3.9,341.527,0,11,82,1,60.355,0,0
,270,660169,4593711,298,120600,2,1.1,206.922,0,2,82,1,10,0,0
,271,672994,4593908,277,83700,2,1.4,295.9751,0,10,82,1,10,0,0
,272,667294,4593786,292,66600,2,2.1,289.1883,0,2,82,1,78.6113,0,0
,273,654514,4593250,303,1834200,3,1.2,116.4639,0,15,82,1,86.517,0,0
,274,660469,4593638,299,94500,2,0.9,200.265,0,2,81,1,42.0001,0,0
,275,663889,4593596,287,56700,2,1,302.7736,0,10,82,1,130.709,0,0
,276,667969,4593756,294,56700,2,2.1,156.7995,0,10,82,1,93.3058,0,0
,277,658684,4593726,293,63000,2,3,252.4896,0,15,81,1,10,0,0
,278,663604,4593810,286,122400,2,1,253.9754,0,10,41,1,66.1785,0,0
,279,666934,4593690,291,181800,2,0.7,21.1635,0,2,82,1,78.0325,0,0
,280,653179,4593607,314,326700,2,1.8,115.107,0,2,82,1,85.2367,0,0
,281,667099,4593341,290,413100,2,1.3,115.7651,0,2,82,1,25,0,0
,282,667684,4593617,293,145800,2,2.1,293.6247,0,10,82,1,75.5945,0,0
,283,669499,4593711,287,65700,2,3.5,23.2193,0,10,82,1,188.972,0,0
,284,657229,4593640,292,160200,2,3.2,23.071,0,11,82,1,69.7696,0,0
,285,672799,4593666,279,101700,2,1.2,11.6172,0,10,82,1,203.652,0,0
,286,664249,4593497,287,105300,2,1.3,122.3212,0,2,82,1,29.4194,0,0
,287,665329,4593012,286,3590100,3,1,-1,0,10,82,1,32.9758,0,0
,288,656449,4593501,293,149400,2,2.9,113.5957,0,11,82,1,20.6982,0,0
,289,661519,4593566,289,103500,3,1.4,167.2657,0,2,81,1,49.2731,0,0
,290,670324,4593452,279,493200,3,1.2,72.7512,0,10,82,1,129.956,0,0
,291,661024,4593615,294,75600,2,1.6,105.9976,0,2,82,1,10,0,0
