@T,Climate,,,,,,,,,
descr,relative humidity,,,,,,,,,
unit,%,,,,,,,,,
missing_val,-9999,,,,,,,,,
date_start,01.01.1990,,,,,,,,,
date_end,30.06.2012,,,,,,,,,
date_format,dd.MM.yyyy,,,,,,,,,
,,,,,,,,,,
@H,date,rehum[1],rehum[2],rehum[3],rehum[4],rehum[5],rehum[6],rehum[7],rehum[8],rehum[9]
name,,ad,alg,ame,as1,as2,axl,blg,cme,d14
ID,,ad,alg,ame,as1,as2,axl,blg,cme,d14
elevation,,289,272,276,278,273,266,265,270,294
x,,667713,670478,673154,669101,669649,666717,666826,660768,661139
y,,4592666,4590999,4595188,4591404,4591124,4586416,4584121,4588357,4593315
,15.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.06.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,02.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,03.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,04.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,05.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,06.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,07.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,08.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,09.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,10.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,11.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,12.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,13.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,14.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,15.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,16.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,17.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,18.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,19.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,20.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,21.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,22.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,23.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,24.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,25.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,26.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,27.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,28.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,29.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,30.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,31.07.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
,01.08.1990,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999
