@T, Parameter,,,,,,,,,,,,
desc,routing.csv,,,,,,,,,,,,
,,,,,,,,,,,,,
@H, from, to, weight,,,,,,,,,,
,453,600,0.00493,539,0.99507,,,,,,,,
,454,-18,0.99948,-17,0.00052,,,,,,,,
,455,426,0.9881,438,0.0119,,,,,,,,
,456,357,1,,,,,,,,,,
,457,357,1,,,,,,,,,,
,458,399,1,,,,,,,,,,
,459,379,0.95918,442,0.04082,,,,,,,,
,460,444,0.83162,506,0.02259,436,0.14579,,,,,,
,461,432,1,,,,,,,,,,
,462,-13,1,,,,,,,,,,
,463,410,1,,,,,,,,,,
,464,-22,0.99846,-29,0.00154,,,,,,,,
,465,447,1,,,,,,,,,,
,466,447,1,,,,,,,,,,
,467,599,0.0224,-20,0.9776,,,,,,,,
,468,460,1,,,,,,,,,,
,469,457,1,,,,,,,,,,
,470,448,1,,,,,,,,,,
,471,389,1,,,,,,,,,,
,472,428,0.58511,489,0.34043,423,0.07447,,,,,,
,473,494,0.47619,500,0.42857,212,0.09524,,,,,,
,474,441,1,,,,,,,,,,
,475,474,1,,,,,,,,,,
,476,629,1,,,,,,,,,,
,477,586,0.06667,537,0.9193,553,0.00702,-13,0.00702,,,,
,478,446,1,,,,,,,,,,
,479,399,0.90476,492,0.09524,,,,,,,,
,480,452,1,,,,,,,,,,
,481,378,1,,,,,,,,,,
,482,455,1,,,,,,,,,,
,483,402,1,,,,,,,,,,
,484,464,1,,,,,,,,,,
,485,486,1,,,,,,,,,,
,486,464,0.1463,-22,0.8537,,,,,,,,
,487,481,0.8125,542,0.1875,,,,,,,,
,488,537,0.28,553,0.3,462,0.38,-13,0.04,,,,
,489,-21,0.99962,-25,0.00038,,,,,,,,
,490,706,0.95182,836,0.04818,,,,,,,,
,491,547,0.99461,568,0.00539,,,,,,,,
,492,493,1,,,,,,,,,,
,493,439,1,,,,,,,,,,
,494,212,1,,,,,,,,,,
,495,475,0.05747,421,0.71264,441,0.22989,,,,,,
,496,442,1,,,,,,,,,,
,497,521,0.3,425,0.7,,,,,,,,
,498,464,0.62637,485,0.02198,486,0.26374,484,0.05495,-22,0.03297,,
,499,345,1,,,,,,,,,,
,500,494,1,,,,,,,,,,
,501,530,1,,,,,,,,,,
,502,606,0.59786,550,0.39502,-20,0.00712,,,,,,
,503,511,1,,,,,,,,,,
,504,207,1,,,,,,,,,,
,505,514,1,,,,,,,,,,
,506,520,0.38095,444,0.61905,,,,,,,,
,507,389,1,,,,,,,,,,
,508,441,1,,,,,,,,,,
,509,518,1,,,,,,,,,,
,510,379,1,,,,,,,,,,
,511,618,0.93285,-31,0.06715,,,,,,,,
,512,570,1,,,,,,,,,,
,513,338,1,,,,,,,,,,
