@T, Parameter,,
desc,routing.csv,,
,,,
@H, from, to, weight
,1347,1360,1
,1348,1262,1
,1349,1227,1
,1350,1351,1
,1351,1364,1
,1352,1259,1
,1353,-47,1
,1354,1363,1
,1355,1326,1
,1356,1278,1
,1357,1316,1
,1358,1373,1
,1359,1405,1
,1360,1370,1
,1361,1357,1
,1362,1352,1
,1363,1353,1
,1364,1258,1
,1365,1362,1
,1366,1333,1
,1367,1376,1
,1368,1309,1
,1369,1353,1
,1370,1359,1
,1371,-54,1
,1372,1371,1
,1373,1352,1
,1374,1387,1
,1375,1454,1
,1376,1359,1
,1377,1316,1
,1378,1307,1
,1379,1152,1
,1380,1326,1
,1381,1180,1
,1382,1262,1
,1383,1316,1
,1384,1366,1
,1385,1402,1
,1386,1352,1
,1387,1362,1
,1388,1418,1
,1389,1368,1
,1390,1377,1
,1391,1366,1
,1392,1379,1
,1393,1152,1
,1394,1326,1
,1395,1411,1
,1396,1382,1
,1397,1496,1
,1398,1351,1
,1399,1309,1
,1400,1427,1
,1401,1411,1
,1402,1326,1
,1403,1472,1
,1404,1417,1
,1405,1527,1
,1406,1370,1
,1407,1413,1
,1408,1454,1
,1409,1364,1
,1410,1258,1
,1411,1352,1
,1412,1421,1
,1413,1408,1
,1414,1449,1
,1415,-55,1
,1416,1352,1
,1417,1308,1
,1418,1449,1
,1419,1351,1
,1420,1411,1
,1421,1417,1
,1422,1353,1
,1423,1516,1
,1424,1371,1
,1425,1326,1
,1426,1427,1
,1427,1415,1
,1428,1454,1
,1429,1507,1
,1430,1409,1
,1431,1411,1
,1432,1416,1
,1433,1454,1
,1434,1402,1
,1435,1359,1
,1436,1227,1
,1437,1424,1
,1438,1280,1
,1439,1280,1
,1440,1307,1
,1441,1352,1
,1442,1308,1
,1443,1359,1
,1444,-56,1
,1445,1437,1
,1446,1447,1
,1447,1415,1
,1448,1440,1
,1449,1471,1
,1450,1464,1
,1451,1405,1
,1452,1439,1
,1453,1532,1
,1454,1308,1
,1455,1326,1
,1456,1507,1
,1457,1415,1
,1458,1469,1
,1459,1308,1
,1460,1481,1
,1461,1528,1
,1462,1468,1
,1463,1454,1
,1464,1529,1
,1465,1499,1
,1466,1465,1
,1467,1371,1
,1468,1505,1
,1469,1441,1
,1470,1481,1
,1471,-64,1
,1472,1495,1
,1473,1474,1
,1474,1419,1
,1475,1469,1
,1476,1387,1
,1477,1421,1
,1478,1459,1
,1479,1442,1
,1480,1454,1
,1481,1522,1
,1482,1411,1
,1483,1491,1
,1484,1433,1
,1485,1444,1
,1486,1485,1
,1487,1501,1
,1488,1351,1
,1489,1540,1
,1490,1482,1
,1491,1421,1
,1492,1478,1
,1493,1463,1
,1494,1470,1
,1495,1464,1
,1496,-65,1
,1497,1476,1
,1498,1504,1
,1499,1486,1
,1500,1475,1
,1501,1465,1
,1502,1540,1
,1503,1493,1
,1504,-64,1
,1505,1532,1
,1506,1433,1
,1507,1405,1
,1508,1444,1
,1509,1519,1
,1510,1514,1
,1511,1544,1
,1512,1539,1
,1513,1568,1
,1514,1520,1
,1515,1526,1
,1516,-68,1
,1517,1467,1
,1518,1500,1
,1519,1491,1
,1520,1506,1
,1521,1542,1
,1522,1527,1
,1523,1227,1
,1524,1536,1
,1525,1534,1
,1526,1511,1
,1527,-64,1
,1528,1471,1
,1529,1528,1
,1530,1539,1
,1531,1543,1
,1532,1280,1
,1533,1519,1
,1534,1477,1
,1535,1526,1
,1536,1537,1
,1537,1415,1
,1538,1514,1
,1539,1553,1
,1540,1546,1
,1541,1568,1
,1542,1493,1
,1543,1523,1
,1544,-64,1
,1545,1423,1
,1546,1280,1
,1547,1521,1
,1548,-64,1
,1549,1535,1
,1550,1544,1
,1551,1567,1
,1552,1564,1
,1553,1471,1
,1554,1611,1
,1555,1526,1
,1556,1564,1
,1557,1555,1
,1558,1559,1
,1559,1548,1
,1560,1471,1
,1561,1511,1
,1562,1550,1
,1563,1541,1
,1564,1547,1
,1565,1560,1
,1566,1227,1
,1567,1541,1
,1568,-67,1
,1569,1555,1
,1570,1562,1
,1571,1280,1
,1572,1511,1
,1573,1570,1
,1574,1656,1
,1575,1565,1
,1576,-68,1
,1577,1227,1
,1578,1566,1
,1579,1643,1
,1580,1579,1
,1581,1572,1
,1582,1562,1
,1583,1471,1
,1584,1280,1
,1585,1513,1
,1586,1593,1
,1587,1580,1
,1588,1516,1
,1589,1537,1
,1590,1582,1
,1591,1541,1
,1592,1605,1
,1593,1594,1
,1594,1541,1
,1595,1580,1
,1596,1582,1
,1597,1559,1
,1598,1560,1
,1599,1603,1
,1600,1610,1
,1601,1513,1
,1602,1591,1
,1603,1610,1
,1604,1602,1
,1605,1622,1
,1606,1632,1
,1607,1623,1
,1608,-67,1
,1609,1559,1
,1610,1627,1
,1611,1600,1
,1612,1639,1
,1613,1639,1
,1614,1471,1
,1615,1513,1
,1616,1612,1
,1617,1541,1
,1618,1541,1
,1619,1623,1
,1620,1513,1
,1621,1620,1
,1622,1626,1
,1623,1635,1
,1624,1585,1
,1625,1639,1
,1626,1647,1
,1627,1631,1
,1628,1624,1
,1629,1639,1
,1630,-69,1
,1631,1641,1
,1632,1648,1
,1633,1650,1
,1634,-66,1
,1635,1632,1
,1636,1662,1
,1637,1642,1
,1638,1649,1
,1639,1617,1
,1640,1642,1
,1641,1634,1
,1642,1646,1
,1643,-67,1
,1644,1668,1
,1645,1670,1
,1646,1643,1
,1647,1668,1
,1648,1644,1
,1649,1643,1
,1650,1654,1
,1651,-72,1
,1652,1653,1
,1653,1541,1
,1654,1651,1
,1655,1648,1
,1656,-68,1
,1657,1642,1
,1658,1667,1
,1659,1642,1
,1660,1654,1
,1661,1665,1
,1662,1669,1
,1663,1694,1
,1664,1685,1
,1665,1672,1
,1666,1675,1
,1667,1643,1
,1668,1682,1
,1669,1673,1
,1670,1693,1
,1671,1693,1
,1672,-67,1
,1673,1666,1
,1674,1642,1
,1675,1678,1
,1676,1674,1
,1677,1643,1
,1678,1679,1
,1679,1670,1
,1680,1643,1
,1681,1677,1
,1682,-73,1
,1683,1686,1
,1684,1706,1
,1685,1684,1
,1686,1639,1
,1687,1691,1
,1688,1685,1
,1689,1643,1
,1690,-71,1
,1691,1689,1
,1692,1667,1
,1693,1690,1
,1694,-71,1
,1695,1670,1
,1696,1643,1
,1697,1701,1
,1698,1700,1
,1699,1702,1
,1700,1684,1
,1701,1663,1
,1702,1693,1
,1703,1701,1
,1704,1707,1
,1705,1704,1
,1706,-72,1
,1707,1684,1
,1708,1700,1
,1709,1684,1
,1710,1684,1
,1711,1710,1
,-73,-71,1
,-72,0,1
,-71,-72,1
,-70,-68,1
,-69,-72,1
,-68,-69,1
,-67,-71,1
,-66,-61,1
,-65,-68,1
,-64,-69,1
,-63,-61,1
,-62,-64,1
,-61,-55,1
,-60,-65,1
,-59,-60,1
,-58,-55,1
,-57,-60,1
,-56,-65,1
,-55,-52,1
,-54,-45,1
,-53,-52,1
,-52,-62,1
,-51,-45,1
,-50,-62,1
,-49,-56,1
,-48,-47,1
,-47,-64,1
,-46,-56,1
,-45,-35,1
,-44,-49,1
,-43,-49,1
,-42,-35,1
,-41,-47,1
,-40,-50,1
,-39,-41,1
,-38,-41,1
,-37,-42,1
,-36,-50,1
,-35,-40,1
,-34,-28,1
,-33,-39,1
,-32,-42,1
,-31,-44,1
,-30,-44,1
,-29,-40,1
,-28,-24,1
,-27,-24,1
,-26,-39,1
,-25,-29,1
