Date12[DDMMYYYYhhmm],JulianDayFromYear0[days],TimeFromStart[days],Simulation_Period,Run,IDpoint,75 ,300 ,600 ,900 ,1200  
10/11/2002 00:00,731530.000000,40.000000,1,1,2,-357.597311,-369.280074,-434.422722,-532.181894,-702.979832 
11/11/2002 00:00,731531.000000,41.000000,1,1,2,-393.054707,-370.632081,-404.890064,-456.546511,-469.844551 
11/11/2002 00:00,731531.000000,41.000000,1,1,2,-395.053052,-375.690175,-414.456310,-469.279312,-478.652191 
11/11/2002 00:00,731531.000000,41.000000,1,1,2,-391.990855,-366.811603,-396.197075,-438.706035,-428.690799 
11/11/2002 00:00,731531.000000,41.000000,1,1,2,-394.323689,-373.259066,-416.855747,-507.458109,-645.380140 
12/11/2002 00:00,731532.000000,42.000000,1,1,2,-412.822111,-381.014961,-395.685072,-435.559862,-420.089304 
12/11/2002 00:00,731532.000000,42.000000,1,1,2,-415.153731,-385.846196,-405.005253,-448.905406,-431.781474 
12/11/2002 00:00,731532.000000,42.000000,1,1,2,-411.704175,-377.115177,-387.250777,-418.718022,-381.270404 
12/11/2002 00:00,731532.000000,42.000000,1,1,2,-414.505113,-383.304155,-406.255986,-482.737100,-589.113372 
13/11/2002 00:00,731533.000000,43.000000,1,1,2,-252.183942,-361.359857,-387.642298,-416.406875,-371.521371 
13/11/2002 00:00,731533.000000,43.000000,1,1,2,-253.173808,-366.037451,-396.710020,-430.122770,-385.895670 
13/11/2002 00:00,731533.000000,43.000000,1,1,2,-252.090444,-357.448214,-379.396547,-400.549815,-334.725206 
13/11/2002 00:00,731533.000000,43.000000,1,1,2,-253.181745,-363.373964,-396.959553,-459.721358,-534.181036 
14/11/2002 00:00,731534.000000,44.000000,1,1,2,-221.413966,-310.496238,-370.450620,-397.724000,-324.047979 
14/11/2002 00:00,731534.000000,44.000000,1,1,2,-222.226182,-314.462946,-379.231169,-411.611832,-340.892851 
14/11/2002 00:00,731534.000000,44.000000,1,1,2,-221.063271,-307.179189,-362.441121,-382.822515,-288.923541 
14/11/2002 00:00,731534.000000,44.000000,1,1,2,-221.971561,-312.032052,-378.376133,-437.016688,-480.653625 
15/11/2002 00:00,731535.000000,45.000000,1,1,2,-332.679649,-298.130392,-344.619611,-376.846926,-276.897397 
15/11/2002 00:00,731535.000000,45.000000,1,1,2,-334.293219,-301.653714,-352.871509,-390.702295,-296.028898 
15/11/2002 00:00,731535.000000,45.000000,1,1,2,-331.407239,-294.872819,-337.026468,-362.930845,-243.023205 
15/11/2002 00:00,731535.000000,45.000000,1,1,2,-333.474923,-299.166044,-350.765932,-411.503075,-427.883752 
16/11/2002 00:00,731536.000000,46.000000,1,1,2,-363.454103,-315.102109,-327.465351,-354.338207,-229.049245 
16/11/2002 00:00,731536.000000,46.000000,1,1,2,-366.111263,-318.818707,-335.141249,-367.842935,-250.298314 
16/11/2002 00:00,731536.000000,46.000000,1,1,2,-362.460721,-311.598741,-320.196378,-341.490811,-195.941639 
