date,AirT,Iprec,Swglob,RH
30/07/2002,28.58,0,329.7869167,16.83
31/07/2002,29.5,0,269.0385833,14.53
01/08/2002,18.87,0,226.4190833,34.21
02/08/2002,21.05,0,223.4534167,39.23
03/08/2002,21.78,2.4,177.5334167,56.59
04/08/2002,22.9,0,275.1373333,52.91
05/08/2002,21.21,2,224.0991667,68.44
06/08/2002,21.54,0.6,277.7681667,62.53
07/08/2002,21.8,0.6,297.4755,58.41
08/08/2002,21.66,1.4,272.4586667,53.1
09/08/2002,20.23,0,320.9855833,51.22
10/08/2002,21.63,0,317.0393333,39.69
11/08/2002,25.63,0,331.3893333,18.93
12/08/2002,15.04,0.8,123.2904167,59.93
13/08/2002,15.73,0.2,298.7191667,57.17
14/08/2002,23.33,0,319.9810833,29.14
15/08/2002,18.84,0,286.35425,52.6
16/08/2002,23.57,0,289.583,36.55
17/08/2002,15.82,0,267.8666667,33.09
18/08/2002,19.25,0,151.3446667,31.36
19/08/2002,19.26,0,257.94125,48.02
20/08/2002,21.53,0,209.1990833,56.17
21/08/2002,20.88,0,185.4259167,46.35
22/08/2002,19.08,0,274.0610833,56.78
23/08/2002,20.59,0,236.6075833,46.68
24/08/2002,18.55,0.6,211.3276667,68.61
25/08/2002,21.5,0,280.47075,54.2
26/08/2002,22.55,10.8,302.5219167,45.76
27/08/2002,18.62,0,239.7885,76.09
28/08/2002,18.01,0,143.6435,79.71
29/08/2002,16.77,0,202.3828333,79.58
30/08/2002,19.56,0.2,269.8039167,59.75
31/08/2002,22.65,0,260.5720833,47.35
01/09/2002,23.16,0,218.47875,26.63
02/09/2002,21.22,0,290.6353333,34.42
03/09/2002,20.47,0,252.2251667,47.03
04/09/2002,22.89,0,256.0279167,35.22
05/09/2002,24.85,0,244.3565833,23.91
06/09/2002,23.62,0,229.026,31.46
07/09/2002,22.85,0,249.3073333,42.06
08/09/2002,20.78,9,169.904,57.16
09/09/2002,17.18,6.6,136.4206667,80.15
10/09/2002,14.77,0.6,158.4479167,88.5
11/09/2002,15.16,11.4,204.918,84.4
12/09/2002,16.3,3,187.5545,82.73
13/09/2002,15.07,1,119.4159167,80.28
14/09/2002,17.59,0,269.6843333,49.91
15/09/2002,18.29,0.2,274.372,46.87
16/09/2002,19.11,0,263.7769167,40.05
17/09/2002,16.81,0,124.34275,43.99
18/09/2002,14.1,0,166.4121667,52.13
19/09/2002,12.85,0,258.7544167,53.78
20/09/2002,16.61,0,264.4705,42.38
21/09/2002,8.8,0,226.80175,65.71
22/09/2002,11.82,0,252.34475,55.95
23/09/2002,11.5,0,257.51075,46.71
24/09/2002,15.67,0,245.3610833,45.64
25/09/2002,9.92,0.4,180.0685833,70.33
26/09/2002,9.54,0,195.9253333,84.63
27/09/2002,13.16,0.2,166.8905,64.77
28/09/2002,12.63,0,161.2700833,67.95
29/09/2002,13.87,0,210.44275,59.05
30/09/2002,16.26,0,244.6196667,30.61
01/10/2002,10.57,0.6,128.64775,63.65
02/10/2002,2.98,0.4,34.51175,97.12
