@T,D1D2,,,,
descr,average observed soil water content at probe D1 D2 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,04.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1583.5,,,
x,,513610.5,,,
y,,4494889.5,,,
,09.04.2003,0.165650375,0.179803123,0.148997016,0.191594882
,10.04.2003,0.171040654,0.181575294,0.14905013,0.191554939
,11.04.2003,0.175601813,0.184176654,0.149767037,0.191547048
,12.04.2003,0.179544057,0.186701986,0.150868966,0.191640617
,13.04.2003,0.182474406,0.188985803,0.152119253,0.191874668
,14.04.2003,0.185218971,0.19102272,0.153376582,0.192240012
,15.04.2003,0.186644876,0.192739516,0.154582143,0.192726568
,16.04.2003,0.183614329,0.193109679,0.15560728,0.193268267
,17.04.2003,0.182318774,0.192198792,0.156040645,0.193884973
,18.04.2003,0.184237638,0.192180931,0.156158628,0.194421171
,19.04.2003,0.18360302,0.192475406,0.156437866,0.194900877
,20.04.2003,0.181747593,0.191836119,0.156596308,0.195322265
,21.04.2003,0.182890878,0.191400743,0.156512149,0.195703731
,22.04.2003,0.186023293,0.192036509,0.156549084,0.259758704
,23.04.2003,0.248853045,0.193059362,0.156948302,0.196279757
,24.04.2003,0.359453893,0.226206193,0.156873423,0.196762799
,25.04.2003,0.345303228,0.309572902,0.155687062,0.197153355
,26.04.2003,0.338051956,0.34167341,0.154774811,0.197346923
,27.04.2003,0.333283984,0.347408872,0.154470617,0.197366166
,28.04.2003,0.33034167,0.349368227,0.154771787,0.197388078
,29.04.2003,0.328408723,0.350279334,0.15542498,0.197454421
,30.04.2003,0.325174026,0.350720028,0.156234962,0.197639662
,01.05.2003,0.321322096,0.349452316,0.156821431,0.197918237
,02.05.2003,0.319461162,0.347607841,0.156964106,0.198239419
,03.05.2003,0.321000788,0.34749037,0.157102142,0.198552306
,04.05.2003,0.321221625,0.348715524,0.15781717,0.198802091
,05.05.2003,0.31852455,0.348782149,0.158765723,0.199137053
,06.05.2003,0.316325411,0.34770755,0.159365557,0.199532121
,07.05.2003,0.31509899,0.346758089,0.159727837,0.199968075
,08.05.2003,0.31400575,0.346088151,0.160078821,0.200359259
,09.05.2003,0.310103152,0.344566392,0.160392626,0.200773054
,10.05.2003,0.367738137,0.395674898,0.232290397,0.20199062
,11.05.2003,0.375292509,0.41580262,0.341941802,0.201660704
,12.05.2003,0.370990119,0.404364206,0.335406831,0.201158082
,13.05.2003,0.372994543,0.39930938,0.331161018,0.200420017
,14.05.2003,0.375925397,0.396293504,0.328183982,0.199885176
,15.05.2003,0.381794623,0.395815319,0.326055274,0.199622144
,16.05.2003,0.38450735,0.394839314,0.324513818,0.199685526
,17.05.2003,0.390572565,0.395684357,0.323328841,0.200282349
,18.05.2003,0.393963735,0.395520416,0.322504273,0.201837603
,19.05.2003,0.388605946,0.394209287,0.321672049,0.204865071
,20.05.2003,0.381958667,0.390597446,0.320206462,0.209244231
,21.05.2003,0.381628941,0.387528956,0.318099654,0.214075406
,22.05.2003,0.386513419,0.386820867,0.316318333,0.218838649
,23.05.2003,0.390783578,0.38717557,0.31538386,0.223495111
,24.05.2003,0.393454872,0.387793517,0.31490688,0.228062063
,25.05.2003,0.391049482,0.38737009,0.314585229,0.232347113
,26.05.2003,0.389513094,0.386451895,0.314094345,0.236072017
,27.05.2003,0.386980249,0.385217848,0.31347158,0.239207264
,28.05.2003,0.385588011,0.38440463,0.312822693,0.241725871
,29.05.2003,0.383061606,0.384061509,0.312453529,0.243701688
,30.05.2003,0.381188761,0.384027078,0.312348103,0.245411145
,31.05.2003,0.376714168,0.383621725,0.312204536,0.247006519
,01.06.2003,0.372475592,0.382242087,0.311716042,0.248430028
