@T,B1B2B3,,,,
descr,average observed soil water content at probe B1 B2 B3 depths 30cm 60cm 90cm 150cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,03.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1568.666667,,,
x,,513721.3333,,,
y,,4495332.667,,,
,29.03.2011,0.26854599,0.307659795,0.271037163,0.269263306
,30.03.2011,0.268919555,0.308053449,0.271200638,0.269403386
,31.03.2011,0.269634173,0.308249663,0.271357804,0.269537864
,01.04.2011,0.273960817,0.309234364,0.271605666,0.269702099
,02.04.2011,0.276564036,0.310645598,0.272120848,0.269889443
,03.04.2011,0.282380207,0.311983388,0.272732742,0.270119846
,04.04.2011,0.276244495,0.311656611,0.273279235,0.270416754
,05.04.2011,0.274307033,0.31013946,0.273120664,0.270661027
,06.04.2011,0.27637306,0.31040489,0.272931888,0.270893104
,07.04.2011,0.276129312,0.310776824,0.273064877,0.271053302
,08.04.2011,0.278563439,0.311327294,0.273219491,0.271163999
,09.04.2011,0.284784371,0.312642448,0.27360236,0.27130502
,10.04.2011,0.285735074,0.313840891,0.274190341,0.271503208
,11.04.2011,0.277699507,0.313898002,0.27464869,0.271734829
,12.04.2011,0.306679526,0.314019522,0.274844605,0.27198179
,13.04.2011,0.277241688,0.314358228,0.275077975,0.272251588
,14.04.2011,0.276970617,0.314139804,0.275253825,0.272470586
,15.04.2011,0.274611783,0.312505628,0.275087484,0.272719932
,16.04.2011,0.274747153,0.31138185,0.274593051,0.272873782
,17.04.2011,0.277464656,0.311519931,0.274283749,0.272914556
,18.04.2011,0.282063116,0.312428306,0.274328763,0.27293407
,19.04.2011,0.231675702,0.313378882,0.27464254,0.272954043
,20.04.2011,0.284040692,0.313767101,0.275002633,0.273034761
,21.04.2011,0.284476854,0.313659716,0.275136897,0.273127817
,22.04.2011,0.287715802,0.314334714,0.275304105,0.273245841
,23.04.2011,0.287167373,0.314303553,0.275512896,0.273383644
,24.04.2011,0.286906877,0.313619316,0.275448066,0.273503795
,25.04.2011,0.288478059,0.313632525,0.275299235,0.273599102
,26.04.2011,0.290557683,0.31424294,0.275355344,0.273654567
,27.04.2011,0.290862063,0.31433319,0.275478802,0.273704796
,28.04.2011,0.291556182,0.314406578,0.275475274,0.2737912
,29.04.2011,0.290488595,0.315577009,0.275589158,0.273878022
,30.04.2011,0.289581907,0.316579476,0.275992644,0.273981873
,01.05.2011,0.288425493,0.316350687,0.276152005,0.274119743
,02.05.2011,0.288287578,0.316155733,0.276069303,0.274258582
,03.05.2011,0.28866067,0.316531185,0.276004498,0.274337014
,04.05.2011,0.289718814,0.317414727,0.276120852,0.274399155
,05.05.2011,0.289481696,0.318167924,0.276430631,0.274493294
,06.05.2011,-9999,-9999,-9999,-9999
,07.05.2011,0.292950565,0.321434231,0.278663482,0.273365273
,08.05.2011,0.290919641,0.323315344,0.279387956,0.273585212
,09.05.2011,0.294794813,0.325446341,0.280289743,0.273872337
,10.05.2011,0.294879609,0.326877836,0.281257944,0.274254658
,11.05.2011,0.293617671,0.327528027,0.282083148,0.274721543
,12.05.2011,0.309896848,0.325219703,0.282435312,0.274920512
,13.05.2011,0.327085283,0.327299845,0.281770769,0.275285454
,14.05.2011,0.329427074,0.333492231,0.281079171,0.275532188
,15.05.2011,0.327079321,0.335891579,0.280910995,0.275588726
,16.05.2011,0.326081399,0.337528015,0.281034412,0.27560029
,17.05.2011,0.324368594,0.339792995,0.282062814,0.275642216
,18.05.2011,0.322621975,0.340870626,0.283704576,0.275698147
,19.05.2011,-9999,-9999,-9999,-9999
,20.05.2011,-9999,-9999,-9999,-9999
,21.05.2011,0.343923027,0.388183967,0.303976069,0.276284264
,22.05.2011,0.340098857,0.386317569,0.311147732,0.277087863
,23.05.2011,0.341543129,0.384749608,0.313444449,0.278551435
,24.05.2011,0.345189355,0.383873404,0.314483222,0.28041388
,25.05.2011,0.341275158,0.381855446,0.314861529,0.282358846
,26.05.2011,0.339580858,0.379963937,0.314678747,0.284173868
,27.05.2011,-9999,-9999,-9999,-9999
,28.05.2011,0.336197182,0.377932671,0.314383485,0.287215871
,29.05.2011,0.334573912,0.376313258,0.314192892,0.288411786
,30.05.2011,0.335170898,0.375214094,0.313868861,0.289437484
,31.05.2011,-9999,-9999,-9999,-9999
,01.06.2011,-9999,-9999,-9999,-9999
,02.06.2011,-9999,-9999,-9999,-9999
,03.06.2011,-9999,-9999,-9999,-9999
,04.06.2011,-9999,-9999,-9999,-9999
,05.06.2011,-9999,-9999,-9999,-9999
,06.06.2011,-9999,-9999,-9999,-9999
,07.06.2011,-9999,-9999,-9999,-9999
,08.06.2011,0.268527451,0.34281746,0.309838617,0.294356627
,09.06.2011,0.312531522,0.351961156,0.309877151,0.294557936
,10.06.2011,0.305536596,0.355892287,0.311223948,0.295370957
,11.06.2011,0.302771216,0.354007104,0.311320697,0.295873069
,12.06.2011,0.300622663,0.352023314,0.310492783,0.296210216
,13.06.2011,0.297508023,0.348917577,0.309377488,0.296475191
,14.06.2011,0.292963963,0.345028603,0.308191776,0.296734064
,15.06.2011,0.286136662,0.339763147,0.306550436,0.29690449
,16.06.2011,0.278817997,0.333953689,0.30430728,0.297032543
,17.06.2011,0.272616544,0.3300772,0.302497988,0.297080135
,18.06.2011,0.267650557,0.326362663,0.300626693,0.297134068
,19.06.2011,0.262809645,0.322406968,0.298243745,0.297108014
,20.06.2011,0.257771925,0.318647847,0.29586262,0.297048557
,21.06.2011,0.248013491,0.312065434,0.291473161,0.296953857
,22.06.2011,0.236948437,0.305016439,0.286766723,0.296817437
,23.06.2011,0.22729756,0.298762839,0.282192687,0.296571453
,24.06.2011,0.21973684,0.294103127,0.278161624,0.296264937
,25.06.2011,0.213708582,0.290009436,0.274161278,0.295957675
,26.06.2011,0.205249062,0.285679653,0.269281177,0.295639401
,27.06.2011,0.197765131,0.282687208,0.264437231,0.295346869
,28.06.2011,0.191248131,0.279390262,0.259528238,0.295047694
,29.06.2011,0.186092956,0.276489139,0.254674967,0.294743939
,30.06.2011,0.182463475,0.27550826,0.251760817,0.294499852
,01.07.2011,0.17844596,0.27446356,0.249794197,0.294173787
,02.07.2011,0.176296766,0.273445782,0.247941258,0.293864133
,03.07.2011,0.173555542,0.272471775,0.246270063,0.293396087
,04.07.2011,0.170567667,0.270958408,0.244571412,0.292703774
,05.07.2011,0.168840485,0.270317086,0.24363395,0.292139485
,06.07.2011,0.166954774,0.270289862,0.243810528,0.291865271
,07.07.2011,0.165370782,0.269619151,0.243906869,0.291522538
,08.07.2011,0.164409751,0.269025903,0.24365673,0.291149135
,09.07.2011,0.163424232,0.268631642,0.242863517,0.290391006
,10.07.2011,0.162129297,0.268324191,0.241856191,0.289590444
,11.07.2011,0.189427618,0.270805638,0.242415274,0.290241479
,12.07.2011,0.249428994,0.278535353,0.245898218,0.292217152
,13.07.2011,0.250868084,0.303960742,0.247136729,0.293439999
,14.07.2011,0.251997476,0.315182652,0.246631124,0.293356862
,15.07.2011,0.254538659,0.31379569,0.246255631,0.29335852
,16.07.2011,0.256610328,0.312749981,0.245904786,0.293551094
,17.07.2011,0.257540018,0.311955989,0.245914426,0.293651751
,18.07.2011,0.258577176,0.310889688,0.24553878,0.293644523
,19.07.2011,0.260467818,0.310341879,0.245025695,0.293652289
,20.07.2011,0.260942519,0.310530564,0.244829236,0.293809657
,21.07.2011,0.260575385,0.310225164,0.244485143,0.293749743
,22.07.2011,0.260563182,0.3098389,0.243639961,0.293655332
,23.07.2011,0.261434711,0.309794136,0.24254533,0.29390773
