@T,C1C2C3,,,,
descr,average observed soil water content at probe C1 C2 C3 depths 30cm 60cm 90cm 120cm,,,,
unit,dimensionless,,,,
,,,,,
missing_val,-9999,,,,
date_start,22.10.2002,,,,
date_end,19.09.2012,,,,
date_format,dd.MM.yyyy,,,,
,,,,,
@H,date,swc[0],swc[1],swc[2],swc[3]
name,,Drake,,,
ID,,1,,,
elevation,,1584.333333,,,
x,,513547,,,
y,,4494896.333,,,
,19.06.2003,0.331963069,0.302150143,0.207722142,0.168738285
,20.06.2003,0.332165564,0.301926216,0.208763211,0.170807166
,21.06.2003,0.332604462,0.301948838,0.209903673,0.172366436
,22.06.2003,0.333453637,0.302505814,0.211225976,0.173587527
,23.06.2003,0.33353533,0.303054434,0.212726377,0.174663542
,24.06.2003,0.331884986,0.303100508,0.214501248,0.17594626
,25.06.2003,0.328707728,0.301541195,0.215711284,0.176903295
,26.06.2003,0.328106341,0.299891034,0.216167757,0.177354568
,27.06.2003,0.329177223,0.29945107,0.216604933,0.17750949
,28.06.2003,0.330713082,0.29997776,0.21747354,0.177676884
,29.06.2003,0.331387908,0.300805006,0.21878656,0.178013531
,30.06.2003,0.331025293,0.300897437,0.220181597,0.178473978
,01.07.2003,0.332422814,0.301355981,0.221440852,0.178918942
,02.07.2003,0.333897121,0.302377563,0.2229536,0.179415539
,03.07.2003,0.334995805,0.303573196,0.22472816,0.180002184
,04.07.2003,0.335815564,0.304675808,0.226598712,0.180738718
,05.07.2003,0.336522006,0.30561951,0.228462048,0.181541153
,06.07.2003,0.336708251,0.30641892,0.230326169,0.182361159
,07.07.2003,0.336096999,0.306706537,0.232028551,0.183185318
,08.07.2003,0.334996276,0.30638466,0.231731125,0.183939915
,09.07.2003,0.335573061,0.306269657,0.23445372,0.184496246
,10.07.2003,0.335721042,0.306545889,0.23557025,0.185018022
,11.07.2003,0.33574275,0.306790644,0.236710083,0.185532721
,12.07.2003,0.335657678,0.306863201,0.237756186,0.186075263
,13.07.2003,0.335739869,0.291305893,0.238732139,0.186593175
,14.07.2003,0.335907401,0.307189618,0.239665466,0.187105313
,15.07.2003,0.335930219,0.307487284,0.240589844,0.18761439
,16.07.2003,0.33488638,0.307244936,0.241412791,0.188164359
,17.07.2003,0.334814555,0.30692335,0.241950856,0.188626469
,18.07.2003,0.335378841,0.307034445,0.242471782,0.189018431
,19.07.2003,0.335025307,0.307216492,0.243105076,0.189443449
,20.07.2003,0.334596703,0.307096439,0.243663394,0.189896949
,21.07.2003,0.332934972,0.306453123,0.244040414,0.190335647
,22.07.2003,0.332959231,0.305814129,0.244080516,0.190630045
