@T,climate,,,,,,,
name,rhum.csv,,,,,,,
descr,relative humidity,,,,,,,
,,,,,,,,
missing_val,-9999,,,,,,,
date_start,01.01.1980,,,,,,,
date_end,30.04.2015,,,,,,,
date_format,dd.MM.yyyy,,,,,,,
,,,,,,,,
unit,%,,,,,,,
tres,d,,,,,,,
,,,,,,,,
@H,date,rehum[0],rehum[2],rehum[3],rehum[4],rhum[5],rhum[6],rhum[7]
name,-,IASF901,Cedar Rapids-A131329,WATERLOO MUNICIPAL AIRPORT IA US,MARSHALLTOWN MUNICIPAL AIRPORT IA US,Ames-Airport,ESTHERVILLE MUNICIPAL AIRPORT IA US,MASON CITY MUNICIPAL AIRPORT IA US
ID,-,1,3,4,5,6,7,8
elevation,-,347.81,240,268,296.9,280,401.4,367
,15.04.1980,-9999,-9999,53.01,-9999,-9999,-9999,59.49
,16.04.1980,-9999,-9999,50.96,-9999,-9999,-9999,63.26
,17.04.1980,-9999,-9999,60.87,-9999,-9999,-9999,54.43
,18.04.1980,-9999,-9999,54.87,-9999,-9999,-9999,43.6
,19.04.1980,-9999,-9999,58.48,-9999,-9999,-9999,41.89
,20.04.1980,-9999,-9999,51.92,-9999,-9999,-9999,31.21
,21.04.1980,-9999,-9999,38.62,-9999,-9999,-9999,25.64
,22.04.1980,-9999,-9999,33.21,-9999,-9999,-9999,38.03
,23.04.1980,-9999,-9999,41.91,-9999,-9999,-9999,53.77
,24.04.1980,-9999,-9999,53.39,-9999,-9999,-9999,55.63
,25.04.1980,-9999,-9999,77.3,-9999,-9999,-9999,67.72
,26.04.1980,-9999,-9999,73.24,-9999,-9999,-9999,63.63
,27.04.1980,-9999,-9999,63.68,-9999,-9999,-9999,49.62
,28.04.1980,-9999,-9999,62.52,-9999,-9999,-9999,38.85
,29.04.1980,-9999,-9999,77.23,-9999,-9999,-9999,57.03
,30.04.1980,-9999,-9999,78.57,-9999,-9999,-9999,58.19
,01.05.1980,-9999,-9999,68.1,-9999,-9999,-9999,53.32
,02.05.1980,-9999,-9999,59.4,-9999,-9999,-9999,43.64
,03.05.1980,-9999,-9999,51.07,-9999,-9999,-9999,40.66
,04.05.1980,-9999,-9999,41.56,-9999,-9999,-9999,34.63
,05.05.1980,-9999,-9999,45.77,-9999,-9999,-9999,31.69
,06.05.1980,-9999,-9999,39.35,-9999,-9999,-9999,32.09
,07.05.1980,-9999,-9999,49.6,-9999,-9999,-9999,44.6
,08.05.1980,-9999,-9999,47.8,-9999,-9999,-9999,43.77
,09.05.1980,-9999,-9999,42.81,-9999,-9999,-9999,44.93
,10.05.1980,-9999,-9999,80.23,-9999,-9999,-9999,73.72
,11.05.1980,-9999,-9999,78.18,-9999,-9999,-9999,69.4
,12.05.1980,-9999,-9999,68.6,-9999,-9999,-9999,57.21
,13.05.1980,-9999,-9999,83.23,-9999,-9999,-9999,72.13
,14.05.1980,-9999,-9999,81.75,-9999,-9999,-9999,72.47
,15.05.1980,-9999,-9999,74.59,-9999,-9999,-9999,68.55
,16.05.1980,-9999,-9999,76.02,-9999,-9999,-9999,69.08
,17.05.1980,-9999,-9999,96.19,-9999,-9999,-9999,84.92
,18.05.1980,-9999,-9999,96.48,-9999,-9999,-9999,89.3
,19.05.1980,-9999,-9999,89.42,-9999,-9999,-9999,78.51
,20.05.1980,-9999,-9999,78.85,-9999,-9999,-9999,68.71
,21.05.1980,-9999,-9999,67.86,-9999,-9999,-9999,56.96
,22.05.1980,-9999,-9999,59.53,-9999,-9999,-9999,46.09
,23.05.1980,-9999,-9999,61.24,-9999,-9999,-9999,49.95
,24.05.1980,-9999,-9999,71.69,-9999,-9999,-9999,55.43
,25.05.1980,-9999,-9999,71.58,-9999,-9999,-9999,57.5
,26.05.1980,-9999,-9999,55.67,-9999,-9999,-9999,52.52
,27.05.1980,-9999,-9999,59.9,-9999,-9999,-9999,58.68
,28.05.1980,-9999,-9999,72.09,-9999,-9999,-9999,59.21
,29.05.1980,-9999,-9999,80.18,-9999,-9999,-9999,75.7
,30.05.1980,-9999,-9999,69.17,-9999,-9999,-9999,84.44
,31.05.1980,-9999,-9999,70.79,-9999,-9999,-9999,72.57
,01.06.1980,-9999,-9999,73.01,-9999,-9999,-9999,73.73
,02.06.1980,-9999,-9999,82.24,-9999,-9999,-9999,77.63
,03.06.1980,-9999,-9999,69.94,-9999,-9999,-9999,65.83
,04.06.1980,-9999,-9999,71.96,-9999,-9999,-9999,67.42
,05.06.1980,-9999,-9999,69.93,-9999,-9999,-9999,73.11
,06.06.1980,-9999,-9999,76.93,-9999,-9999,-9999,77.97
,07.06.1980,-9999,-9999,81.23,-9999,-9999,-9999,77.01
,08.06.1980,-9999,-9999,55.17,-9999,-9999,-9999,57.51
,09.06.1980,-9999,-9999,49.23,-9999,-9999,-9999,47.8
,10.06.1980,-9999,-9999,59.23,-9999,-9999,-9999,53.27
,11.06.1980,-9999,-9999,55.48,-9999,-9999,-9999,44.67
,12.06.1980,-9999,-9999,57.63,-9999,-9999,-9999,50.84
