@T,soils,,,,,,,,,,,
name,soils_hor.csv,,,,,,,,,,,
descr,soil input parameters by horizon,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,Vol.%,Vol.%,Vol.%,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,6101,56,0.513,0.362,0.199,21.024,1.29,3.49,1,0.28,2,10
,6102,40,0.453,0.326,0.188,12.336,1.45,1.74,1,0.32,2,10
,6103,56,0.423,0.283,0.15,17.04,1.53,0.87,1,0.32,3,10
,6201,56,0.471,0.313,0.172,23.928,1.4,2.91,1,0.24,3,10
,6202,42,0.423,0.283,0.15,17.04,1.53,0.87,1,0.28,3,10
,6203,54,0.422,0.054,0.018,274.872,1.53,0.29,1,0.15,12,10
,6301,132,0.461,0.287,0.149,32.112,1.43,2.62,1,0.24,2,10
,6302,20,0.43,0.258,0.125,32.568,1.51,1.45,1,0.28,2,10
,6401,150,0.4,0.2,0.1,24,1.5,1,1,0.24,2,10
,6501,150,0.4,0.2,0.1,24,1.5,1,1,0.24,2,10
,6601,150,0.4,0.2,0.1,24,1.5,1,1,0.24,2,10
,6701,23,0.579,0.379,0.171,52.032,1.12,5.23,1,0.28,0.01,10
,6702,13,0.566,0.386,0.2,36.528,1.15,4.65,1,0.28,0.01,10
,6703,5,0.489,0.369,0.186,11.832,1.35,1.74,1,0.28,0.01,10
,6704,162,0.433,0.338,0.149,6.552,1.5,0.29,1,0.43,2,10
,6801,25,0.523,0.367,0.199,23.568,1.26,3.78,1,0.24,2,10
,6802,21,0.464,0.334,0.196,13.32,1.42,2.33,1,0.24,2,10
,6803,53,0.448,0.307,0.166,17.232,1.46,1.74,1,0.32,3,10
,6804,104,0.394,0.233,0.105,26.952,1.61,0.15,1,0.37,4,10
,6901,41,0.418,0.191,0.101,69.264,1.54,1.45,1,0.2,0.01,10
,6902,61,0.404,0.184,0.096,64.32,1.58,0.87,1,0.2,0.01,10
