@T,obs,,,,,
descr,observed runoff at Drake,,,,,
unit,m3/s  //  mg/l  //  mg/l ,,,,,
,,,,,,
missing_val,-9999,,,,,
date_start,09.01.2001,,,,,
date_end,31.12.2013,,,,,
date_format,dd.MM.yyyy,,,,,
,,,,,,
@H,date,orun[1],no3_n[1],sedim[1],no3_n[2],no3_n[3]
name,-,SF450,SF450,SF450,SF450,SF450
ID,-,1,2,3,4,5
elevation,-,289,289,289,289,289
,31.10.2008,0.991089631,5.44,-9999,5.4,-9999
,01.11.2008,0.962772784,5.26,-9999,5.3,-9999
,02.11.2008,0.934455938,4.92,-9999,4.9,-9999
,03.11.2008,0.906139091,4.68,-9999,4.7,-9999
,04.11.2008,0.877822245,4.31,-9999,4.3,-9999
,05.11.2008,0.962772784,4.02,-9999,4,-9999
,06.11.2008,2.718417274,4.05,-9999,4.125,-9999
,07.11.2008,9.372876225,6.67,-9999,6.9,-9999
,08.11.2008,8.636638213,8.61,-9999,8.65,-9999
,09.11.2008,6.90931057,9.28,-9999,9.5,-9999
,10.11.2008,5.918220939,9.55,-9999,9.5,-9999
,11.11.2008,5.323567161,9.22,-9999,9.3,-9999
,12.11.2008,6.314656792,8.82,-9999,8.8,-9999
,13.11.2008,6.597825258,8.92,-9999,8.85,-9999
,14.11.2008,7.192479036,9.24,-9999,9.2,-9999
,15.11.2008,8.155251821,9.41,-9999,-9999,-9999
,16.11.2008,7.928717048,9.64,-9999,-9999,-9999
,17.11.2008,6.626142104,9.86,-9999,9.9,-9999
,18.11.2008,5.66336932,9.89,-9999,-9999,-9999
,19.11.2008,5.295250314,9.88,-9999,-9999,-9999
,20.11.2008,4.870497615,9.87,-9999,-9999,-9999
,21.11.2008,4.587329149,9.85,-9999,-9999,-9999
,22.11.2008,4.559012303,9.84,-9999,-9999,-9999
,23.11.2008,4.020992217,9.83,-9999,-9999,-9999
,24.11.2008,3.794457444,9.82,-9999,-9999,-9999
,25.11.2008,3.539605825,9.81,-9999,-9999,-9999
,26.11.2008,3.369704745,9.79,-9999,-9999,-9999
,27.11.2008,3.256437359,9.78,-9999,-9999,-9999
,28.11.2008,3.114853126,9.77,-9999,-9999,-9999
,29.11.2008,3.058219433,9.76,-9999,-9999,-9999
,30.11.2008,3.114853126,9.74,-9999,-9999,-9999
,01.12.2008,3.00158574,9.73,-9999,-9999,-9999
,02.12.2008,2.973268893,9.72,-9999,-9999,-9999
,03.12.2008,2.888318353,9.71,-9999,-9999,-9999
,04.12.2008,2.576833041,9.7,-9999,-9999,-9999
,05.12.2008,2.520199347,9.68,-9999,-9999,-9999
,06.12.2008,2.378615114,9.67,-9999,-9999,-9999
,07.12.2008,2.321981421,9.66,-9999,-9999,-9999
,08.12.2008,2.548516194,9.65,-9999,-9999,-9999
,09.12.2008,2.378615114,9.64,-9999,-9999,-9999
,10.12.2008,2.605149887,9.62,-9999,-9999,-9999
