@T,Parameter,,,,,,,,,,,,,
descr,hrus.csv,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,slopelength,sedpool
min,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max,9999,999999,9999999,10000,9999999999,3,90,360,999999,9999,9999,9999,9999,9999
unit,n/a,m,m,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,m,t
,181,4421575,5645166,301,434375,3,1,153.7874,0,84,7,17,195.86,0
,182,4410675,5645858,290,23750,2,1.5,112.5272,0,85,2,8,10,0
,183,4411375,5644966,293,116875,3,2.5,26.0774,0,93,7,8,63.0746,0
,184,4420387,5645555,305,244375,2,0.6,196.7039,0,84,7,17,234.656,0
,185,4421600,5645255,302,25000,2,0.9,151.8855,0,84,7,17,25,0
,186,4410387,5645760,296,40000,2,1.8,105.6448,0,53,3,7,25,0
,187,4410625,5645771,288,69375,3,1.1,66.9416,0,73,3,8,12.5,0
,188,4414900,5645749,277,43125,2,0.1,213.7498,0,93,7,18,51.0872,0
,189,4420300,5645791,305,86250,2,0.3,243.6429,0,84,7,7,141.013,0
,190,4420987,5645154,298,281250,3,0.9,166.0719,0,84,7,17,399.111,0
,191,4420737,5645348,302,233125,2,0.9,191.86,0,84,7,17,389.205,0
,192,4423787,5645732,299,57500,3,0.5,331.614,0,71,7,7,24.5404,0
,193,4410150,5645466,304,26250,2,1.5,25.9005,0,63,2,7,51.5026,0
,194,4413250,5645685,277,122500,3,0.1,-1,0,93,3,19,20.6723,0
,195,4417450,5645804,289,56875,2,0.7,251.1242,0,53,7,7,10,0
,196,4417700,5645766,289,20625,2,0.6,253.8719,0,53,7,7,10,0
,197,4410162,5645635,304,22500,2,2.4,341.2782,0,63,2,7,10,0
,198,4410375,5645588,300,54375,2,3.2,24.5305,0,72,2,7,46.348,0
,199,4410750,5645602,293,101875,2,3,30.2071,0,75,7,8,78.5213,0
,200,4413887,5645766,277,11250,3,0.1,-1,0,73,7,18,25,0
,201,4414987,5645624,277,58750,2,0.1,216.1686,0,73,7,18,76.8964,0
,202,4416112,5645635,281,54375,2,0.6,230.5266,0,53,7,7,10,0
,203,4417037,5645558,284,87500,3,0.6,201.4752,0,71,7,7,41.115,0
,204,4417750,5645547,290,163750,3,0.6,238.7883,0,53,10,7,58.3107,0
,205,4411550,5645566,279,19375,3,0.4,109.7623,0,93,4,19,25,0
,206,4415650,5645557,278,50000,3,0.4,281.4118,0,53,7,8,25,0
,207,4423187,5645687,296,48750,3,0.5,204.132,0,71,5,7,40.1783,0
,208,4416075,5645388,279,198750,3,0.5,206.5659,0,53,7,8,68.4371,0
,209,4419962,5645428,304,88125,2,0.5,206.5383,0,85,7,17,101.934,0
,210,4424962,5645640,305,52500,2,0.4,289.2912,0,85,7,7,113.493,0
,211,4410862,5645447,300,63750,2,5,29.7871,0,75,2,8,44.3509,0
,212,4411225,5645491,284,70625,3,1.3,20.2015,0,93,3,8,53.1768,0
,213,4414412,5645557,277,53125,3,0.1,-1,0,93,7,18,18.5399,0
,214,4416825,5645241,286,175625,3,0.8,293.5247,0,53,7,7,95.1709,0
,215,4411337,5645400,287,115000,3,2.1,27.0107,0,75,2,8,65.6754,0
,216,4413137,5645643,277,10625,3,0.1,-1,0,93,3,19,25,0
,217,4423087,5645499,296,191250,3,0.6,299.1273,0,84,7,17,103.974,0
,218,4410775,5645066,293,69375,2,3.8,30.8199,0,75,3,8,67.5139,0
,219,4411637,5645519,282,76250,2,1.2,24.6718,0,93,7,8,79.0476,0
,220,4412575,5645541,277,40000,3,0.1,307.1324,0,93,3,19,26.4423,0
,221,4413150,5645507,277,89375,3,0.1,-1,0,93,3,19,23.2258,0
,222,4414725,5645441,277,10625,3,0.1,-1,0,73,7,18,25,0
,223,4414787,5645249,277,87500,3,0.1,-1,0,73,7,18,19.3074,0
,224,4416662,5645180,280,41875,2,0.5,192.7223,0,53,7,7,69.6429,0
,225,4420187,5645025,298,57500,2,0.8,157.1142,0,85,7,17,115.549,0
,226,4415737,5645396,278,30625,2,0.5,205.6932,0,53,7,8,50.4702,0
,227,4411700,5645097,286,130000,3,2.1,20.0938,0,75,7,8,90.1939,0
,228,4412725,5645549,277,21875,3,0.1,-1,0,93,3,19,22.1339,0
,229,4413500,5645369,277,83125,2,0.1,23.9771,0,93,3,19,32.656,0
,230,4415775,5645541,277,30625,2,0.2,243.619,0,53,7,18,32.3742,0
,231,4419612,5645115,301,135000,2,0.5,213.1499,0,85,7,7,28.8092,0
,232,4420075,5645292,302,69375,2,0.7,168.8902,0,85,7,17,10,0
,233,4410325,5645468,315,48125,2,6.1,343.2063,0,63,5,7,42.7781,0
,234,4414037,5645191,277,121250,3,0.1,-1,0,73,7,18,23.0571,0
,235,4415875,5645366,278,33750,2,0.3,190.554,0,53,7,8,23.1694,0
,236,4422537,5645245,292,88125,3,0.4,241.9623,0,71,7,17,51.3339,0
,237,4412625,5645516,277,31250,2,0.1,110.0869,0,93,3,19,57.0721,0
,238,4412700,5645429,277,20625,2,0.1,73.116,0,92,3,19,23.2143,0
,239,4414300,5645424,277,22500,2,0.1,-1,0,73,7,18,22.2222,0
,240,4414900,5645080,277,101250,3,0.1,-1,0,73,7,18,19.8191,0
,241,4423837,5645352,300,176250,2,0.6,207.6396,0,84,7,7,143.463,0
,242,4410525,5645338,322,73125,2,6.6,22.3252,0,63,5,8,73.0177,0
,243,4412487,5644866,282,233125,2,2.2,30.0291,0,75,7,9,35.9467,0
,244,4419475,5644349,290,1284375,2,1,193.1442,0,85,7,7,216.427,0
,245,4412800,5645302,277,34375,3,0.1,23.865,0,92,5,19,25,0
,246,4413700,5645192,277,216250,3,0.1,69.5523,0,93,3,19,40.494,0
,247,4414975,5645064,277,19375,3,0.1,-1,0,73,7,18,25,0
,248,4416487,5645324,281,89375,2,0.7,208.9963,0,53,7,7,87.0514,0
,249,4418687,5645191,295,135625,3,0.7,249.0314,0,53,7,7,66.1242,0
,250,4420475,5644907,298,222500,3,0.9,163.8331,0,85,7,17,67.4773,0
,251,4422725,5645258,293,85000,2,0.6,250.1172,0,84,7,17,64.1429,0
,252,4415325,5645167,277,206875,3,0.1,158.635,0,73,7,18,88.5429,0
,253,4423262,5645047,295,305625,3,0.5,201.9974,0,84,7,17,103.028,0
,254,4412450,5645307,277,31250,2,0.1,151.6206,0,93,3,19,41.6314,0
,255,4412662,5645351,277,23750,2,0.1,75.2164,0,92,3,19,37.7958,0
,256,4413112,5645186,277,143750,3,0.1,23.5506,0,92,3,19,44.3318,0
,257,4414512,5645405,277,2500,3,0.1,-1,0,73,3,18,25,0
,258,4414550,5645405,277,1250,3,0.1,-1,0,73,7,18,25,0
,259,4418125,5645230,290,250000,3,0.8,192.1505,0,53,3,7,105.667,0
,260,4415687,5645279,277,41875,2,0.2,197.4124,0,53,7,18,32.8947,0
,261,4412887,5645199,277,43125,2,0.1,298.3316,0,92,3,19,34.5969,0
,262,4422750,5643916,294,458125,3,0.4,245.2006,0,84,7,17,150.276,0
,263,4410687,5645229,333,23125,2,9.6,17.3115,0,63,5,7,51.607,0
,264,4410825,5645196,331,25625,2,9.6,33.1452,0,63,4,7,109.852,0
,265,4413337,5645141,277,57500,2,0.1,23.3881,0,93,5,19,55.0148,0
,266,4414300,5645316,277,14375,3,0.1,-1,0,73,7,18,25,0
,267,4419100,5645294,298,27500,2,0.6,258.3029,0,85,7,7,10,0
,268,4421250,5645119,295,33125,2,1,147.2815,0,84,7,17,10,0
,269,4410937,5645160,321,31250,2,7.6,53.4571,0,72,2,7,60.355,0
,270,4416812,5645269,281,2500,3,0.4,199.3581,0,53,7,7,10,0
,271,4416825,5645291,281,625,3,0.4,195.8737,0,53,7,7,10,0
,272,4417637,5645094,287,125000,3,1.2,167.121,0,53,7,7,78.6113,0
,273,4422787,5644974,293,222500,2,0.5,243.9395,0,84,7,17,86.517,0
,274,4412700,5645071,277,40625,3,0.1,63.7784,0,92,3,19,42.0001,0
,275,4415625,5645003,277,125000,2,0.1,166.6105,0,73,7,18,130.709,0
,276,4416162,5644960,276,134375,3,0.2,201.6195,0,53,7,18,93.3058,0
,277,4421700,5645179,294,33125,2,0.9,174.0181,0,84,2,17,10,0
,278,4421937,5645069,293,52500,2,0.7,191.1336,0,84,7,17,66.1785,0
,279,4410987,5645110,321,31250,2,7.1,37.2131,0,72,4,7,78.0325,0
,280,4416825,5645157,280,46875,3,0.6,194.5979,0,71,7,7,85.2367,0
,281,4417100,5645215,283,22500,2,0.8,250.5097,0,53,7,7,25,0
,282,4417162,5644753,282,94375,2,0.9,234.2245,0,53,7,7,75.5945,0
,283,4418775,5644847,293,328125,3,0.7,197.8564,0,53,7,7,188.972,0
,284,4421075,5645241,292,94375,2,0.7,156.3692,0,84,7,17,69.7696,0
,285,4417000,5644986,282,210000,3,0.9,233.8166,0,53,7,7,203.652,0
,286,4419025,5644716,297,143125,2,0.7,205.2971,0,53,7,7,29.4194,0
,287,4421537,5645074,292,32500,3,0.8,160.9256,0,84,3,17,32.9758,0
,288,4414225,5645093,277,68750,2,0.1,60.5976,0,93,3,18,20.6982,0
,289,4418837,5644481,291,118750,3,0.7,209.4865,0,53,7,7,49.2731,0
,290,4415875,5644824,276,184375,3,0.1,161.5171,0,73,7,18,129.956,0
,291,4421150,5645116,292,26875,2,0.8,155.7333,0,84,7,17,10,0
,292,4411212,5645035,309,78750,2,6.3,29.2957,0,72,7,8,75,0
,293,4417512,5644810,283,207500,3,1,239.8409,0,32,7,7,52.1725,0
,294,4421187,5644799,290,66250,2,0.8,167.8163,0,84,7,17,238.514,0
,295,4416525,5644894,277,92500,2,0.4,197.4285,0,53,7,8,51.6171,0
,296,4421725,5645015,292,23750,2,0.9,187.7677,0,84,3,17,10,0
,297,4422025,5645091,291,50625,3,0.3,112.8364,0,84,7,17,93.4646,0
,298,4414562,5645066,277,13750,3,0.1,-1,0,73,7,18,25,0
,299,4418312,5644938,292,79375,2,0.9,295.5679,0,53,7,7,47.2155,0
,300,4410975,5644910,337,61250,2,8.1,35.0281,0,63,4,7,73.8236,0
,301,4411537,5644899,310,75625,2,6.6,18.2555,0,53,7,8,41.2683,0
,302,4412300,5645256,277,183125,3,0.3,31.1389,0,93,3,9,21.8701,0
,303,4414337,5645019,277,27500,2,0.1,-1,0,93,3,18,22.8261,0
,304,4420800,5644691,292,65625,2,0.8,160.4138,0,85,7,17,25,0
,305,4422150,5644743,291,104375,3,0.4,194.4148,0,84,7,17,94.79,0
,306,4413125,5644841,277,40625,3,0.2,-1,0,93,5,9,19.6429,0
,307,4413562,5644852,277,94375,3,0.1,338.2019,0,93,3,9,26.7067,0
,308,4420112,5644567,292,191875,3,0.8,164.6258,0,85,7,7,148.094,0
,309,4412837,5644915,277,25000,2,0.1,165.6413,0,93,5,9,26.4218,0
,310,4413875,5644882,277,70625,3,0.3,10.5513,0,93,3,9,28.1452,0
,311,4414612,5644947,277,36875,3,0.1,21.3705,0,73,7,18,23.75,0
,312,4411975,5644766,301,57500,2,5.1,53.3588,0,53,7,8,72.5443,0
,313,4413250,5644890,277,23125,2,0.1,298.3533,0,93,5,9,25,0
,314,4414100,5644813,277,73125,2,0.5,14.2016,0,93,3,9,30.9801,0
,315,4411600,5644691,307,74375,2,6.2,20.3181,0,72,7,8,44.4619,0
,316,4414725,5644832,277,76250,3,0.1,-1,0,73,7,8,23.4915,0
,317,4416350,5644694,276,63750,2,0.2,197.1186,0,53,7,18,105.409,0
,318,4422462,5644711,291,63750,3,0.2,289.511,0,71,7,17,24.8213,0
,319,4415662,5644599,276,240625,3,0.2,28.6659,0,73,7,8,39.2652,0
,320,4418500,5644916,284,165000,3,1.4,197.6158,0,32,7,7,66.2616,0
